B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 5
B12, Trade, 505.767, 90, B12, S04, 1
B12, Trade, 560.283, 90, B12, S02, 1
B12, Trade, 600.617, 90, B12, S02, 1
B12, Trade, 697.067, 90, B12, S04, 1
B12, Trade, 774.550, 90, B12, S04, 1
B13, 2
B13, Trade, 224.867, 94, B13, S00, 1
B13, Trade, 775.300, 89, B13, S08, 1
B14, 44
B14, Trade, 37.650, 97, B14, S00, 1
B14, Trade, 64.550, 97, B14, S08, 1
B14, Trade, 136.450, 97, B14, S02, 1
B14, Trade, 146.650, 97, B14, S02, 1
B14, Trade, 158.300, 97, B14, S02, 1
B14, Trade, 166.800, 97, B14, S04, 1
B14, Trade, 176.500, 97, B14, S00, 1
B14, Trade, 192.250, 97, B14, S00, 1
B14, Trade, 242.583, 97, B14, S09, 1
B14, Trade, 253.783, 97, B14, S08, 1
B14, Trade, 260.517, 97, B14, S09, 1
B14, Trade, 296.850, 97, B14, S08, 1
B14, Trade, 302.033, 97, B14, S02, 1
B14, Trade, 355.733, 97, B14, S00, 1
B14, Trade, 362.267, 97, B14, S08, 1
B14, Trade, 379.467, 97, B14, S00, 1
B14, Trade, 395.133, 97, B14, S08, 1
B14, Trade, 410.200, 97, B14, S04, 1
B14, Trade, 436.400, 97, B14, S02, 1
B14, Trade, 444.133, 96, B14, S02, 1
B14, Trade, 471.217, 97, B14, S02, 1
B14, Trade, 488.567, 97, B14, S13, 1
B14, Trade, 492.600, 97, B14, S04, 1
B14, Trade, 515.717, 97, B14, S04, 1
B14, Trade, 526.417, 96, B14, S08, 1
B14, Trade, 540.983, 97, B14, S01, 1
B14, Trade, 542.550, 96, B14, S02, 1
B14, Trade, 574.150, 97, B14, S02, 1
B14, Trade, 586.600, 97, B14, S04, 1
B14, Trade, 598.467, 97, B14, S02, 1
B14, Trade, 612.017, 97, B14, S02, 1
B14, Trade, 616.350, 97, B14, S11, 1
B14, Trade, 627.000, 97, B14, S02, 1
B14, Trade, 653.683, 97, B14, S00, 1
B14, Trade, 667.683, 97, B14, S04, 1
B14, Trade, 684.700, 97, B14, S00, 1
B14, Trade, 696.717, 97, B14, S02, 1
B14, Trade, 717.183, 97, B14, S08, 1
B14, Trade, 755.717, 97, B14, S00, 1
B14, Trade, 766.050, 97, B14, S02, 1
B14, Trade, 770.567, 97, B14, S02, 1
B14, Trade, 796.950, 97, B14, S02, 1
B14, Trade, 818.200, 96, B14, S02, 1
B14, Trade, 831.000, 95, B14, S02, 1
B15, 10
B15, Trade, 92.650, 101, B15, S14, 1
B15, Trade, 159.467, 97, B15, S04, 1
B15, Trade, 192.100, 100, S09, B15, 1
B15, Trade, 303.850, 100, S06, B15, 1
B15, Trade, 319.850, 96, S11, B15, 1
B15, Trade, 344.817, 100, B15, S02, 1
B15, Trade, 410.600, 94, B15, S02, 1
B15, Trade, 445.050, 99, S07, B15, 1
B15, Trade, 794.067, 100, B15, S06, 1
B15, Trade, 820.883, 98, S09, B15, 1
B16, 100
B16, Trade, 251.450, 104, B16, S10, 1
B16, Trade, 253.550, 103, B16, S02, 1
B16, Trade, 265.750, 102, B16, S07, 1
B16, Trade, 274.650, 100, B16, S10, 1
B16, Trade, 276.667, 102, B16, S09, 1
B16, Trade, 278.783, 99, B16, S07, 1
B16, Trade, 286.267, 103, B16, S10, 1
B16, Trade, 290.250, 98, B16, S04, 1
B16, Trade, 300.967, 100, B16, S09, 1
B16, Trade, 308.117, 105, B16, S02, 1
B16, Trade, 309.917, 102, B16, S06, 1
B16, Trade, 315.900, 105, B16, S09, 1
B16, Trade, 319.233, 101, B16, S04, 1
B16, Trade, 326.667, 101, S15, B16, 1
B16, Trade, 327.533, 101, B16, S07, 1
B16, Trade, 336.067, 101, B16, S04, 1
B16, Trade, 339.433, 101, B16, S12, 1
B16, Trade, 343.767, 102, S12, B16, 1
B16, Trade, 354.167, 102, B16, S10, 1
B16, Trade, 358.000, 100, B16, S12, 1
B16, Trade, 366.717, 95, B16, S04, 1
B16, Trade, 374.267, 105, B16, S13, 1
B16, Trade, 376.433, 100, S12, B16, 1
B16, Trade, 381.633, 99, B16, S04, 1
B16, Trade, 387.167, 101, B16, S09, 1
B16, Trade, 396.333, 97, B16, S02, 1
B16, Trade, 402.600, 99, B16, S13, 1
B16, Trade, 407.933, 100, S14, B16, 1
B16, Trade, 415.050, 92, B16, S00, 1
B16, Trade, 427.800, 105, B16, S07, 1
B16, Trade, 434.600, 102, B16, S08, 1
B16, Trade, 435.567, 102, B16, S06, 1
B16, Trade, 439.050, 99, S07, B16, 1
B16, Trade, 446.267, 104, S15, B16, 1
