B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 14
B14, Trade, 116.783, 98, B14, S07, 1
B14, Trade, 123.033, 98, B14, S03, 1
B14, Trade, 166.850, 98, B14, S07, 1
B14, Trade, 175.083, 98, B14, S09, 1
B14, Trade, 267.600, 98, B14, S03, 1
B14, Trade, 272.483, 98, B14, S07, 1
B14, Trade, 321.583, 98, B14, S11, 1
B14, Trade, 334.383, 98, B14, S11, 1
B14, Trade, 536.883, 98, B14, S11, 1
B14, Trade, 547.417, 98, S03, B14, 1
B14, Trade, 681.550, 98, B14, S09, 1
B14, Trade, 685.483, 98, S06, B14, 1
B14, Trade, 751.100, 98, B14, S03, 1
B14, Trade, 777.933, 98, B14, S07, 1
B15, 100
B15, Trade, 195.400, 100, B15, S01, 1
B15, Trade, 204.567, 100, B15, S09, 1
B15, Trade, 206.700, 100, B15, S14, 1
B15, Trade, 213.517, 100, B15, S09, 1
B15, Trade, 223.517, 100, B15, S07, 1
B15, Trade, 239.100, 100, B15, S04, 1
B15, Trade, 250.033, 100, B15, S10, 1
B15, Trade, 254.333, 100, B15, S08, 1
B15, Trade, 257.050, 100, B15, S10, 1
B15, Trade, 264.550, 100, B15, S00, 1
B15, Trade, 271.917, 100, S12, B15, 1
B15, Trade, 279.250, 100, B15, S14, 1
B15, Trade, 282.367, 100, S04, B15, 1
B15, Trade, 294.467, 100, B15, S01, 1
B15, Trade, 302.667, 100, B15, S04, 1
B15, Trade, 306.183, 100, B15, S07, 1
B15, Trade, 310.383, 100, B15, S08, 1
B15, Trade, 314.217, 100, S04, B15, 1
B15, Trade, 320.200, 100, S01, B15, 1
B15, Trade, 326.617, 100, S10, B15, 1
B15, Trade, 328.483, 100, S14, B15, 1
B15, Trade, 336.683, 100, S14, B15, 1
B15, Trade, 342.200, 100, S04, B15, 1
B15, Trade, 344.017, 100, S04, B15, 1
B15, Trade, 349.850, 99, S06, B15, 1
B15, Trade, 359.167, 100, B15, S09, 1
B15, Trade, 365.400, 100, B15, S07, 1
B15, Trade, 370.900, 100, S04, B15, 1
B15, Trade, 374.750, 100, S09, B15, 1
B15, Trade, 379.950, 100, S04, B15, 1
B15, Trade, 385.117, 100, B15, S14, 1
B15, Trade, 393.983, 100, B15, S10, 1
B15, Trade, 396.233, 100, S04, B15, 1
B15, Trade, 412.167, 100, B15, S10, 1
B15, Trade, 417.450, 100, S13, B15, 1
B15, Trade, 430.483, 100, B15, S08, 1
B15, Trade, 436.600, 100, S01, B15, 1
B15, Trade, 440.833, 100, B15, S10, 1
B15, Trade, 448.033, 100, B15, S07, 1
B15, Trade, 451.500, 100, B15, S09, 1
B15, Trade, 457.967, 100, B15, S10, 1
B15, Trade, 470.217, 100, B15, S07, 1
B15, Trade, 480.833, 100, B15, S03, 1
B15, Trade, 486.067, 100, B15, S03, 1
B15, Trade, 490.167, 100, B15, S10, 1
B15, Trade, 501.650, 100, B15, S11, 1
B15, Trade, 509.800, 100, B15, S01, 1
B15, Trade, 513.550, 100, B15, S03, 1
B15, Trade, 517.700, 100, B15, S06, 1
B15, Trade, 520.783, 100, B15, S10, 1
B15, Trade, 527.483, 100, S13, B15, 1
B15, Trade, 534.933, 100, B15, S06, 1
B15, Trade, 537.467, 99, S03, B15, 1
B15, Trade, 543.633, 99, S12, B15, 1
B15, Trade, 546.300, 100, S14, B15, 1
B15, Trade, 550.283, 99, S12, B15, 1
B15, Trade, 558.083, 100, B15, S06, 1
B15, Trade, 564.317, 100, S12, B15, 1
B15, Trade, 566.967, 100, S14, B15, 1
B15, Trade, 575.750, 100, B15, S07, 1
B15, Trade, 576.067, 100, S09, B15, 1
B15, Trade, 583.417, 100, B15, S10, 1
B15, Trade, 589.583, 100, B15, S06, 1
B15, Trade, 596.450, 100, B15, S07, 1
B15, Trade, 606.283, 100, B15, S01, 1
B15, Trade, 619.433, 100, B15, S07, 1
B15, Trade, 625.250, 100, B15, S14, 1
B15, Trade, 632.400, 100, B15, S01, 1
B15, Trade, 635.917, 100, B15, S10, 1
B15, Trade, 639.600, 100, B15, S04, 1
B15, Trade, 648.933, 100, B15, S04, 1
B15, Trade, 653.683, 100, B15, S14, 1
B15, Trade, 657.167, 100, S13, B15, 1
B15, Trade, 661.617, 100, B15, S06, 1
B15, Trade, 668.567, 100, B15, S04, 1
B15, Trade, 673.417, 100, S01, B15, 1
B15, Trade, 680.700, 100, B15, S07, 1
B15, Trade, 689.450, 100, B15, S11, 1
B15, Trade, 699.383, 100, B15, S04, 1
B15, Trade, 708.367, 100, B15, S10, 1
B15, Trade, 714.900, 100, B15, S04, 1
B15, Trade, 718.483, 100, S10, B15, 1
B15, Trade, 725.233, 100, B15, S00, 1
B15, Trade, 728.033, 100, B15, S09, 1
B15, Trade, 740.483, 100, B15, S08, 1
B15, Trade, 741.633, 100, S09, B15, 1
B15, Trade, 746.400, 100, B15, S04, 1
B15, Trade, 763.333, 100, B15, S04, 1
B15, Trade, 766.383, 100, B15, S10, 1
B15, Trade, 776.600, 100, B15, S12, 1
B15, Trade, 784.717, 100, B15, S01, 1
B15, Trade, 791.267, 100, B15, S00, 1
B15, Trade, 796.067, 100, B15, S04, 1
B15, Trade, 798.367, 100, S06, B15, 1
B15, Trade, 807.000, 100, S14, B15, 1
B15, Trade, 820.233, 100, B15, S01, 1
B15, Trade, 828.567, 100, B15, S00, 1
B15, Trade, 832.417, 100, S14, B15, 1
B15, Trade, 850.033, 100, S04, B15, 1
B15, Trade, 854.033, 100, B15, S03, 1
B16, 100
B16, Trade, 322.200, 99, B16, S06, 1
B16, Trade, 329.133, 100, S01, B16, 1
B16, Trade, 336.783, 99, B16, S07, 1
B16, Trade, 341.400, 100, S01, B16, 1
B16, Trade, 349.933, 100, S01, B16, 1
B16, Trade, 350.817, 99, S07, B16, 1
B16, Trade, 357.250, 102, B16, S01, 1
B16, Trade, 361.467, 101, B16, S03, 1
B16, Trade, 367.883, 100, S04, B16, 1
B16, Trade, 373.417, 99, B16, S00, 1
B16, Trade, 374.417, 99, S06, B16, 1
B16, Trade, 379.783, 100, S13, B16, 1
B16, Trade, 387.317, 103, B16, S13, 1
B16, Trade, 390.700, 105, B16, S12, 1
B16, Trade, 396.900, 104, S06, B16, 1
B16, Trade, 399.083, 104, S07, B16, 1
B16, Trade, 406.267, 103, B16, S09, 1
B16, Trade, 412.733, 101, B16, S09, 1
B16, Trade, 413.683, 100, S04, B16, 1
B16, Trade, 419.100, 100, S09, B16, 1
B16, Trade, 427.683, 102, B16, S06, 1
B16, Trade, 428.467, 103, S03, B16, 1
B16, Trade, 440.017, 101, B16, S03, 1
B16, Trade, 449.450, 102, B16, S14, 1
B16, Trade, 460.600, 100, B16, S14, 1
B16, Trade, 463.667, 104, S09, B16, 1
B16, Trade, 468.533, 101, B16, S14, 1
B16, Trade, 477.917, 101, B16, S04, 1
B16, Trade, 482.833, 101, B16, S10, 1
B16, Trade, 484.783, 101, B16, S14, 1
B16, Trade, 492.800, 100, S01, B16, 1
B16, Trade, 494.383, 100, S04, B16, 1
B16, Trade, 500.250, 101, B16, S14, 1
B16, Trade, 505.183, 99, S03, B16, 1
B16, Trade, 515.683, 103, S09, B16, 1
B16, Trade, 520.133, 101, S13, B16, 1
B16, Trade, 527.533, 99, B16, S07, 1
B16, Trade, 533.867, 101, B16, S09, 1
B16, Trade, 538.667, 98, S13, B16, 1
B16, Trade, 540.767, 98, B16, S13, 1
B16, Trade, 550.167, 98, B16, S06, 1
B16, Trade, 557.550, 102, B16, S01, 1
B16, Trade, 564.417, 99, B16, S00, 1
B16, Trade, 568.833, 99, S13, B16, 1
B16, Trade, 571.633, 100, S04, B16, 1
B16, Trade, 576.500, 99, B16, S06, 1
B16, Trade, 582.217, 101, S12, B16, 1
B16, Trade, 588.350, 104, B16, S04, 1
B16, Trade, 591.833, 103, B16, S07, 1
B16, Trade, 598.867, 101, B16, S14, 1
B16, Trade, 602.433, 102, S09, B16, 1
B16, Trade, 608.533, 104, B16, S14, 1
B16, Trade, 614.967, 104, S07, B16, 1
B16, Trade, 619.600, 102, S06, B16, 1
B16, Trade, 623.100, 99, B16, S07, 1
B16, Trade, 626.500, 99, B16, S06, 1
B16, Trade, 631.600, 102, S11, B16, 1
B16, Trade, 639.000, 100, B16, S14, 1
B16, Trade, 643.650, 100, S13, B16, 1
B16, Trade, 647.717, 100, B16, S06, 1
B16, Trade, 654.450, 100, S07, B16, 1
B16, Trade, 661.217, 102, B16, S04, 1
B16, Trade, 663.217, 100, B16, S12, 1
B16, Trade, 664.967, 102, B16, S00, 1
B16, Trade, 675.867, 101, S07, B16, 1
B16, Trade, 690.833, 101, S12, B16, 1
B16, Trade, 694.250, 105, B16, S03, 1
B16, Trade, 694.800, 105, S09, B16, 1
B16, Trade, 705.200, 104, S06, B16, 1
B16, Trade, 709.150, 101, B16, S09, 1
B16, Trade, 713.250, 101, S03, B16, 1
B16, Trade, 717.083, 100, S14, B16, 1
B16, Trade, 722.367, 102, S12, B16, 1
B16, Trade, 729.967, 101, B16, S04, 1
B16, Trade, 732.617, 105, B16, S00, 1
B16, Trade, 736.317, 102, B16, S00, 1
B16, Trade, 744.317, 100, S06, B16, 1
B16, Trade, 747.667, 100, B16, S08, 1
B16, Trade, 756.483, 105, B16, S13, 1
B16, Trade, 760.167, 102, B16, S01, 1
B16, Trade, 764.517, 100, B16, S00, 1
B16, Trade, 765.817, 101, S12, B16, 1
B16, Trade, 774.217, 102, B16, S08, 1
B16, Trade, 777.967, 99, S09, B16, 1
B16, Trade, 782.983, 102, S13, B16, 1
B16, Trade, 790.350, 101, B16, S03, 1
B16, Trade, 795.050, 101, B16, S14, 1
B16, Trade, 799.250, 100, S14, B16, 1
B16, Trade, 804.367, 99, B16, S09, 1
B16, Trade, 807.433, 99, B16, S07, 1
B16, Trade, 813.117, 101, B16, S00, 1
B16, Trade, 818.583, 101, B16, S10, 1
B16, Trade, 823.167, 101, B16, S14, 1
B16, Trade, 830.067, 100, S04, B16, 1
B16, Trade, 837.283, 103, B16, S10, 1
B16, Trade, 837.717, 104, S06, B16, 1
B16, Trade, 846.733, 102, B16, S14, 1
B16, Trade, 851.233, 100, B16, S10, 1
B16, Trade, 858.150, 105, B16, S14, 1
B16, Trade, 863.600, 104, B16, S10, 1
B17, 100
B17, Trade, 56.167, 101, B17, S09, 1
B17, Trade, 64.667, 100, B17, S03, 1
B17, Trade, 72.983, 102, B17, S01, 1
B17, Trade, 76.417, 101, B17, S14, 1
B17, Trade, 85.550, 100, B17, S14, 1
B17, Trade, 87.650, 99, B17, S03, 1
B17, Trade, 95.933, 100, B17, S01, 1
B17, Trade, 104.533, 101, S12, B17, 1
B17, Trade, 105.750, 100, B17, S08, 1
B17, Trade, 109.550, 99, B17, S07, 1
B17, Trade, 111.650, 99, B17, S06, 1
B17, Trade, 119.767, 101, S13, B17, 1
B17, Trade, 127.733, 101, S12, B17, 1
B17, Trade, 142.517, 103, B17, S01, 1
B17, Trade, 146.400, 99, B17, S09, 1
B17, Trade, 151.617, 100, B17, S06, 1
B17, Trade, 153.767, 99, S07, B17, 1
B17, Trade, 160.117, 100, B17, S14, 1
B17, Trade, 172.267, 100, B17, S13, 1
B17, Trade, 183.183, 100, B17, S13, 1
B17, Trade, 188.550, 103, B17, S03, 1
B17, Trade, 201.617, 100, B17, S00, 1
B17, Trade, 204.967, 100, B17, S14, 1
B17, Trade, 210.333, 101, B17, S07, 1
B17, Trade, 214.283, 99, B17, S03, 1
B17, Trade, 223.050, 102, B17, S10, 1
B17, Trade, 230.417, 105, B17, S13, 1
B17, Trade, 234.750, 104, B17, S01, 1
B17, Trade, 246.650, 102, B17, S14, 1
B17, Trade, 249.417, 101, B17, S01, 1
B17, Trade, 261.533, 102, B17, S00, 1
B17, Trade, 276.883, 99, B17, S03, 1
B17, Trade, 287.133, 101, B17, S01, 1
B17, Trade, 298.033, 99, B17, S00, 1
B17, Trade, 308.700, 99, B17, S09, 1
B17, Trade, 324.400, 98, B17, S08, 1
B17, Trade, 329.967, 98, B17, S07, 1
B17, Trade, 338.667, 99, S03, B17, 1
B17, Trade, 345.733, 99, B17, S03, 1
B17, Trade, 358.367, 101, B17, S07, 1
B17, Trade, 364.283, 100, B17, S14, 1
B17, Trade, 382.933, 100, B17, S01, 1
B17, Trade, 391.617, 102, B17, S07, 1
B17, Trade, 398.200, 103, B17, S03, 1
B17, Trade, 404.167, 103, B17, S07, 1
B17, Trade, 408.533, 101, B17, S10, 1
B17, Trade, 420.367, 99, B17, S07, 1
B17, Trade, 424.533, 102, B17, S07, 1
B17, Trade, 430.017, 100, B17, S04, 1
B17, Trade, 434.367, 100, S03, B17, 1
B17, Trade, 444.600, 102, B17, S10, 1
B17, Trade, 450.467, 101, B17, S11, 1
B17, Trade, 456.983, 101, S09, B17, 1
B17, Trade, 464.733, 101, B17, S10, 1
B17, Trade, 471.183, 99, B17, S06, 1
B17, Trade, 480.250, 100, B17, S06, 1
B17, Trade, 489.650, 99, B17, S03, 1
B17, Trade, 504.467, 99, B17, S06, 1
B17, Trade, 510.100, 100, B17, S04, 1
B17, Trade, 517.500, 100, B17, S04, 1
B17, Trade, 532.550, 101, B17, S14, 1
B17, Trade, 555.000, 100, B17, S10, 1
B17, Trade, 562.700, 99, B17, S07, 1
B17, Trade, 581.583, 100, B17, S01, 1
B17, Trade, 587.950, 102, B17, S14, 1
B17, Trade, 589.850, 100, S04, B17, 1
B17, Trade, 594.433, 102, B17, S09, 1
B17, Trade, 599.767, 101, B17, S14, 1
B17, Trade, 606.250, 100, B17, S09, 1
B17, Trade, 610.117, 103, B17, S04, 1
B17, Trade, 614.783, 102, B17, S00, 1
B17, Trade, 616.117, 102, B17, S01, 1
B17, Trade, 620.217, 98, S03, B17, 1
B17, Trade, 632.833, 100, B17, S07, 1
B17, Trade, 639.233, 100, B17, S01, 1
B17, Trade, 642.567, 100, B17, S07, 1
B17, Trade, 653.883, 99, B17, S00, 1
B17, Trade, 658.933, 99, B17, S07, 1
B17, Trade, 666.100, 101, B17, S01, 1
B17, Trade, 678.200, 100, S14, B17, 1
B17, Trade, 681.633, 99, S03, B17, 1
B17, Trade, 688.917, 101, B17, S14, 1
B17, Trade, 696.000, 103, B17, S10, 1
B17, Trade, 706.033, 101, B17, S01, 1
B17, Trade, 729.383, 100, B17, S14, 1
B17, Trade, 733.333, 104, B17, S14, 1
B17, Trade, 754.750, 100, B17, S04, 1
B17, Trade, 758.633, 104, B17, S03, 1
B17, Trade, 766.350, 100, B17, S04, 1
B17, Trade, 771.567, 102, B17, S12, 1
B17, Trade, 788.017, 101, B17, S04, 1
B17, Trade, 791.833, 100, B17, S04, 1
B17, Trade, 799.217, 99, B17, S07, 1
B17, Trade, 812.483, 100, B17, S04, 1
B17, Trade, 825.383, 100, B17, S04, 1
B17, Trade, 834.217, 102, B17, S14, 1
B17, Trade, 839.800, 105, B17, S14, 1
B17, Trade, 844.800, 103, B17, S10, 1
B17, Trade, 850.400, 100, B17, S01, 1
B17, Trade, 857.583, 104, B17, S10, 1
B18, 100
B18, Trade, 213.250, 100, B18, S10, 1
B18, Trade, 215.333, 100, S04, B18, 1
B18, Trade, 221.900, 100, B18, S14, 1
B18, Trade, 224.050, 100, B18, S09, 1
B18, Trade, 238.733, 100, B18, S03, 1
B18, Trade, 249.883, 100, B18, S00, 1
B18, Trade, 255.233, 100, B18, S03, 1
B18, Trade, 257.083, 100, B18, S06, 1
B18, Trade, 266.933, 100, B18, S01, 1
B18, Trade, 268.667, 99, S08, B18, 1
B18, Trade, 275.650, 100, S13, B18, 1
B18, Trade, 279.150, 100, B18, S06, 1
B18, Trade, 294.067, 100, B18, S14, 1
B18, Trade, 300.750, 100, S10, B18, 1
B18, Trade, 305.933, 100, B18, S14, 1
B18, Trade, 308.633, 100, S03, B18, 1
B18, Trade, 316.033, 100, S14, B18, 1
B18, Trade, 322.033, 100, S12, B18, 1
B18, Trade, 328.333, 100, S04, B18, 1
B18, Trade, 330.017, 99, S09, B18, 1
B18, Trade, 337.650, 100, S01, B18, 1
B18, Trade, 339.517, 100, S14, B18, 1
B18, Trade, 342.000, 100, S13, B18, 1
B18, Trade, 350.400, 100, S13, B18, 1
B18, Trade, 359.767, 100, B18, S10, 1
B18, Trade, 367.550, 100, B18, S10, 1
B18, Trade, 372.300, 100, S14, B18, 1
B18, Trade, 372.667, 100, S01, B18, 1
B18, Trade, 378.900, 100, S14, B18, 1
B18, Trade, 387.667, 100, S10, B18, 1
B18, Trade, 391.217, 100, B18, S14, 1
