B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 23
B10, Trade, 407.519, 90, B10, S08, 1
B10, Trade, 425.923, 90, B10, S08, 1
B10, Trade, 440.769, 90, B10, S10, 1
B10, Trade, 451.519, 90, B10, S03, 1
B10, Trade, 453.923, 90, B10, S02, 1
B10, Trade, 474.173, 90, B10, S05, 1
B10, Trade, 495.192, 90, B10, S05, 1
B10, Trade, 534.827, 90, B10, S10, 1
B10, Trade, 542.865, 90, B10, S02, 1
B10, Trade, 549.635, 90, B10, S10, 1
B10, Trade, 582.327, 90, B10, S08, 1
B10, Trade, 602.750, 90, B10, S02, 1
B10, Trade, 615.385, 90, B10, S05, 1
B10, Trade, 637.231, 90, B10, S02, 1
B10, Trade, 646.212, 90, B10, S10, 1
B10, Trade, 690.538, 90, B10, S08, 1
B10, Trade, 714.942, 90, B10, S02, 1
B10, Trade, 729.654, 90, B10, S02, 1
B10, Trade, 813.519, 90, B10, S08, 1
B10, Trade, 822.365, 90, B10, S03, 1
B10, Trade, 829.962, 90, B10, S02, 1
B10, Trade, 842.096, 90, B10, S02, 1
B10, Trade, 862.692, 90, B10, S10, 1
B11, 67
B11, Trade, 53.962, 94, B11, S05, 1
B11, Trade, 72.654, 94, B11, S04, 1
B11, Trade, 87.500, 94, B11, S02, 1
B11, Trade, 91.038, 94, B11, S08, 1
B11, Trade, 126.442, 94, B11, S10, 1
B11, Trade, 138.423, 94, B11, S02, 1
B11, Trade, 156.731, 94, B11, S08, 1
B11, Trade, 159.019, 94, B11, S02, 1
B11, Trade, 176.192, 94, B11, S05, 1
B11, Trade, 186.846, 94, B11, S08, 1
B11, Trade, 199.885, 94, B11, S02, 1
B11, Trade, 205.596, 94, B11, S03, 1
B11, Trade, 211.500, 94, B11, S05, 1
B11, Trade, 215.212, 94, B11, S05, 1
B11, Trade, 220.673, 94, B11, S05, 1
B11, Trade, 229.673, 94, B11, S05, 1
B11, Trade, 235.558, 94, B11, S05, 1
B11, Trade, 247.462, 94, B11, S03, 1
B11, Trade, 278.538, 94, B11, S09, 1
B11, Trade, 291.231, 94, B11, S10, 1
B11, Trade, 297.981, 94, B11, S03, 1
B11, Trade, 310.500, 94, B11, S05, 1
B11, Trade, 330.423, 94, B11, S05, 1
B11, Trade, 336.173, 94, B11, S10, 1
B11, Trade, 343.731, 94, B11, S08, 1
B11, Trade, 360.308, 94, B11, S05, 1
B11, Trade, 386.962, 94, B11, S05, 1
B11, Trade, 391.058, 94, B11, S03, 1
B11, Trade, 395.769, 94, B11, S01, 1
B11, Trade, 397.904, 94, B11, S02, 1
B11, Trade, 407.038, 94, B11, S03, 1
B11, Trade, 421.750, 94, B11, S08, 1
B11, Trade, 439.385, 94, B11, S02, 1
B11, Trade, 451.365, 94, B11, S01, 1
B11, Trade, 457.058, 94, B11, S05, 1
B11, Trade, 461.673, 94, B11, S07, 1
B11, Trade, 471.846, 94, B11, S05, 1
B11, Trade, 473.827, 94, B11, S02, 1
B11, Trade, 511.404, 94, B11, S10, 1
B11, Trade, 527.135, 94, B11, S08, 1
B11, Trade, 530.635, 94, B11, S05, 1
B11, Trade, 543.942, 94, B11, S05, 1
B11, Trade, 547.846, 94, B11, S03, 1
B11, Trade, 554.250, 94, B11, S07, 1
B11, Trade, 558.519, 94, B11, S08, 1
B11, Trade, 579.000, 94, B11, S01, 1
B11, Trade, 591.250, 94, B11, S10, 1
B11, Trade, 605.712, 94, B11, S08, 1
B11, Trade, 618.731, 94, B11, S02, 1
B11, Trade, 624.712, 94, B11, S02, 1
B11, Trade, 637.096, 94, B11, S03, 1
B11, Trade, 645.981, 94, B11, S02, 1
B11, Trade, 690.346, 94, B11, S03, 1
B11, Trade, 692.923, 92, S09, B11, 1
B11, Trade, 696.827, 94, B11, S08, 1
B11, Trade, 712.096, 94, B11, S03, 1
B11, Trade, 718.288, 94, B11, S07, 1
B11, Trade, 730.231, 94, B11, S05, 1
B11, Trade, 746.038, 94, B11, S02, 1
B11, Trade, 790.327, 94, B11, S08, 1
B11, Trade, 794.731, 94, B11, S03, 1
B11, Trade, 819.577, 94, B11, S05, 1
B11, Trade, 829.923, 94, B11, S08, 1
B11, Trade, 834.038, 94, B11, S10, 1
B11, Trade, 839.058, 94, B11, S08, 1
B11, Trade, 846.750, 94, B11, S05, 1
B11, Trade, 853.019, 94, B11, S08, 1
B12, 100
B12, Trade, 150.558, 95, B12, S10, 1
B12, Trade, 152.308, 98, B12, S02, 1
B12, Trade, 161.192, 97, S09, B12, 1
B12, Trade, 173.923, 98, B12, S08, 1
B12, Trade, 179.923, 98, B12, S10, 1
B12, Trade, 185.288, 98, B12, S03, 1
B12, Trade, 191.192, 98, B12, S02, 1
B12, Trade, 200.731, 97, S01, B12, 1
