B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 1.808, 68, B06, S01, 1
B07, 0
B08, 0
B09, 0
B10, 7
B10, Trade, 239.942, 90, B10, S01, 1
B10, Trade, 400.038, 90, B10, S07, 1
B10, Trade, 485.269, 90, B10, S07, 1
B10, Trade, 572.712, 90, B10, S04, 1
B10, Trade, 576.423, 90, B10, S07, 1
B10, Trade, 781.000, 90, B10, S04, 1
B10, Trade, 817.442, 90, B10, S07, 1
B11, 69
B11, Trade, 10.481, 94, B11, S01, 1
B11, Trade, 16.404, 94, S06, B11, 1
B11, Trade, 23.558, 94, B11, S06, 1
B11, Trade, 27.558, 94, B11, S11, 1
B11, Trade, 42.154, 94, B11, S07, 1
B11, Trade, 44.942, 94, B11, S05, 1
B11, Trade, 55.058, 94, B11, S11, 1
B11, Trade, 57.000, 94, S01, B11, 1
B11, Trade, 62.750, 94, B11, S07, 1
B11, Trade, 75.192, 94, B11, S11, 1
B11, Trade, 77.308, 94, B11, S03, 1
B11, Trade, 95.135, 94, B11, S06, 1
B11, Trade, 117.519, 94, B11, S08, 1
B11, Trade, 123.558, 94, B11, S06, 1
B11, Trade, 134.038, 94, B11, S07, 1
B11, Trade, 141.231, 94, B11, S07, 1
B11, Trade, 161.712, 94, S02, B11, 1
B11, Trade, 175.135, 94, B11, S06, 1
B11, Trade, 193.731, 94, B11, S04, 1
B11, Trade, 198.673, 94, B11, S07, 1
B11, Trade, 219.288, 94, B11, S07, 1
B11, Trade, 229.423, 94, B11, S08, 1
B11, Trade, 233.365, 94, S02, B11, 1
B11, Trade, 240.135, 91, S02, B11, 1
B11, Trade, 245.077, 94, B11, S04, 1
B11, Trade, 269.269, 94, B11, S01, 1
B11, Trade, 287.462, 94, B11, S07, 1
B11, Trade, 290.577, 94, B11, S01, 1
B11, Trade, 301.192, 94, B11, S11, 1
B11, Trade, 311.962, 94, B11, S06, 1
B11, Trade, 329.288, 94, B11, S07, 1
B11, Trade, 341.385, 93, S03, B11, 1
B11, Trade, 382.288, 94, B11, S04, 1
B11, Trade, 398.788, 94, B11, S11, 1
B11, Trade, 429.712, 94, B11, S04, 1
B11, Trade, 438.019, 94, B11, S03, 1
B11, Trade, 467.981, 94, B11, S07, 1
B11, Trade, 494.692, 94, B11, S04, 1
B11, Trade, 502.250, 94, B11, S06, 1
B11, Trade, 507.250, 94, B11, S05, 1
B11, Trade, 510.365, 94, B11, S07, 1
B11, Trade, 518.654, 94, B11, S07, 1
B11, Trade, 524.000, 94, B11, S01, 1
B11, Trade, 543.346, 94, B11, S03, 1
B11, Trade, 547.750, 94, S11, B11, 1
B11, Trade, 572.462, 94, B11, S11, 1
B11, Trade, 588.308, 94, B11, S07, 1
B11, Trade, 616.731, 94, B11, S07, 1
B11, Trade, 617.808, 94, S02, B11, 1
B11, Trade, 626.769, 94, B11, S01, 1
B11, Trade, 637.846, 94, B11, S06, 1
B11, Trade, 640.192, 94, B11, S06, 1
B11, Trade, 653.442, 94, B11, S01, 1
B11, Trade, 661.115, 94, B11, S06, 1
B11, Trade, 670.327, 94, B11, S03, 1
B11, Trade, 677.885, 93, S01, B11, 1
B11, Trade, 682.788, 94, B11, S11, 1
B11, Trade, 693.712, 94, B11, S01, 1
B11, Trade, 697.885, 94, B11, S01, 1
B11, Trade, 715.462, 94, B11, S07, 1
B11, Trade, 725.154, 94, B11, S03, 1
B11, Trade, 730.365, 94, B11, S06, 1
B11, Trade, 782.154, 94, B11, S07, 1
B11, Trade, 785.692, 94, B11, S07, 1
B11, Trade, 792.212, 94, B11, S03, 1
B11, Trade, 808.231, 94, B11, S08, 1
B11, Trade, 816.096, 94, B11, S06, 1
B11, Trade, 817.731, 94, S05, B11, 1
B11, Trade, 853.712, 94, B11, S04, 1
B12, 2
B12, Trade, 6.615, 95, B12, S07, 1
B12, Trade, 163.250, 90, B12, S07, 1
B13, 87
B13, Trade, 3.327, 78, S07, B13, 1
B13, Trade, 12.442, 93, B13, S07, 1
B13, Trade, 13.538, 92, B13, S02, 1
B13, Trade, 54.904, 94, B13, S01, 1
B13, Trade, 59.923, 93, B13, S07, 1
B13, Trade, 69.615, 95, B13, S06, 1
B13, Trade, 94.942, 94, B13, S01, 1
B13, Trade, 103.077, 96, B13, S07, 1
B13, Trade, 103.904, 96, B13, S01, 1
B13, Trade, 113.327, 96, B13, S07, 1
B13, Trade, 131.615, 98, B13, S04, 1
B13, Trade, 137.885, 96, B13, S07, 1
B13, Trade, 140.769, 95, B13, S05, 1
B13, Trade, 149.154, 98, B13, S11, 1
B13, Trade, 161.212, 96, B13, S07, 1
B13, Trade, 170.635, 95, B13, S07, 1
B13, Trade, 178.808, 92, B13, S07, 1
B13, Trade, 190.654, 98, B13, S07, 1
B13, Trade, 194.019, 96, B13, S07, 1
B13, Trade, 214.865, 97, B13, S03, 1
B13, Trade, 222.962, 95, B13, S07, 1
B13, Trade, 229.442, 93, B13, S07, 1
B13, Trade, 239.404, 91, S03, B13, 1
B13, Trade, 249.346, 95, B13, S03, 1
B13, Trade, 265.519, 95, B13, S06, 1
B13, Trade, 276.288, 97, B13, S01, 1
B13, Trade, 279.058, 96, B13, S11, 1
B13, Trade, 286.846, 96, B13, S02, 1
B13, Trade, 294.135, 93, B13, S07, 1
B13, Trade, 303.288, 92, B13, S03, 1
B13, Trade, 311.154, 94, B13, S01, 1
B13, Trade, 320.865, 96, B13, S06, 1
B13, Trade, 328.865, 99, B13, S12, 1
B13, Trade, 333.923, 98, B13, S11, 1
B13, Trade, 340.423, 96, B13, S05, 1
B13, Trade, 345.673, 95, B13, S07, 1
B13, Trade, 350.827, 97, B13, S06, 1
B13, Trade, 360.519, 97, B13, S07, 1
B13, Trade, 371.154, 96, B13, S07, 1
B13, Trade, 377.519, 97, S01, B13, 1
B13, Trade, 379.596, 96, B13, S08, 1
B13, Trade, 383.173, 94, B13, S07, 1
B13, Trade, 399.981, 93, B13, S04, 1
B13, Trade, 406.481, 94, B13, S07, 1
B13, Trade, 423.135, 95, B13, S01, 1
B13, Trade, 425.538, 94, B13, S07, 1
B13, Trade, 441.519, 93, S02, B13, 1
B13, Trade, 451.173, 94, B13, S07, 1
B13, Trade, 461.769, 99, B13, S04, 1
B13, Trade, 469.769, 97, B13, S07, 1
B13, Trade, 476.500, 96, B13, S07, 1
B13, Trade, 480.769, 96, B13, S07, 1
B13, Trade, 491.173, 95, B13, S11, 1
B13, Trade, 502.596, 93, B13, S07, 1
B13, Trade, 542.615, 96, B13, S06, 1
B13, Trade, 549.712, 93, B13, S07, 1
B13, Trade, 558.827, 93, B13, S04, 1
B13, Trade, 572.250, 95, B13, S03, 1
B13, Trade, 576.288, 93, B13, S01, 1
B13, Trade, 607.115, 98, B13, S05, 1
B13, Trade, 608.885, 98, B13, S04, 1
B13, Trade, 637.577, 94, B13, S01, 1
B13, Trade, 645.404, 96, B13, S04, 1
B13, Trade, 650.942, 95, B13, S11, 1
B13, Trade, 659.904, 94, B13, S07, 1
B13, Trade, 666.596, 98, B13, S01, 1
B13, Trade, 673.635, 95, B13, S08, 1
B13, Trade, 677.058, 92, S05, B13, 1
B13, Trade, 692.846, 94, B13, S11, 1
B13, Trade, 698.038, 94, B13, S11, 1
B13, Trade, 701.135, 93, B13, S06, 1
B13, Trade, 725.635, 93, B13, S06, 1
B13, Trade, 730.865, 94, B13, S01, 1
B13, Trade, 738.481, 99, S03, B13, 1
B13, Trade, 745.308, 99, B13, S12, 1
B13, Trade, 755.077, 97, B13, S03, 1
B13, Trade, 764.962, 96, B13, S11, 1
B13, Trade, 776.365, 95, B13, S07, 1
B13, Trade, 793.596, 93, B13, S01, 1
B13, Trade, 804.385, 96, B13, S07, 1
B13, Trade, 807.885, 95, B13, S02, 1
B13, Trade, 822.077, 99, B13, S03, 1
B13, Trade, 829.462, 96, S05, B13, 1
B13, Trade, 837.135, 97, B13, S07, 1
B13, Trade, 852.288, 101, B13, S12, 1
B13, Trade, 854.154, 98, B13, S01, 1
B13, Trade, 860.500, 96, S01, B13, 1
B14, 2
B14, Trade, 18.558, 93, B14, S01, 1
B14, Trade, 609.096, 88, B14, S07, 1
B15, 76
B15, Trade, 13.788, 94, S05, B15, 1
B15, Trade, 25.269, 97, B15, S07, 1
B15, Trade, 33.904, 96, B15, S03, 1
B15, Trade, 38.288, 96, S05, B15, 1
B15, Trade, 47.308, 102, S09, B15, 1
B15, Trade, 64.096, 97, B15, S03, 1
B15, Trade, 86.365, 94, S11, B15, 1
B15, Trade, 91.712, 98, B15, S03, 1
B15, Trade, 101.269, 97, B15, S04, 1
B15, Trade, 105.865, 102, S13, B15, 1
B15, Trade, 110.250, 99, B15, S01, 1
B15, Trade, 126.538, 98, S12, B15, 1
B15, Trade, 136.038, 102, S13, B15, 1
B15, Trade, 142.769, 97, S06, B15, 1
B15, Trade, 152.788, 99, S08, B15, 1
B15, Trade, 171.192, 97, S08, B15, 1
B15, Trade, 180.327, 100, S11, B15, 1
B15, Trade, 195.346, 100, S08, B15, 1
B15, Trade, 216.096, 95, S08, B15, 1
B15, Trade, 251.135, 98, S12, B15, 1
B15, Trade, 265.673, 97, S08, B15, 1
B15, Trade, 270.596, 95, S02, B15, 1
B15, Trade, 303.404, 93, S02, B15, 1
B15, Trade, 317.288, 97, B15, S01, 1
B15, Trade, 329.923, 98, S01, B15, 1
B15, Trade, 343.750, 98, S12, B15, 1
B15, Trade, 360.827, 99, B15, S06, 1
B15, Trade, 375.788, 97, S06, B15, 1
B15, Trade, 381.462, 98, S12, B15, 1
B15, Trade, 386.673, 97, S11, B15, 1
B15, Trade, 395.481, 106, S14, B15, 1
B15, Trade, 400.154, 94, S05, B15, 1
B15, Trade, 410.942, 98, S12, B15, 1
B15, Trade, 414.731, 98, S03, B15, 1
B15, Trade, 433.942, 102, S06, B15, 1
B15, Trade, 443.154, 94, S01, B15, 1
B15, Trade, 447.596, 96, B15, S01, 1
B15, Trade, 455.596, 101, S05, B15, 1
B15, Trade, 468.096, 98, S01, B15, 1
B15, Trade, 473.173, 104, S08, B15, 1
B15, Trade, 495.404, 93, B15, S07, 1
B15, Trade, 508.942, 102, S13, B15, 1
B15, Trade, 531.923, 99, S05, B15, 1
B15, Trade, 537.712, 98, B15, S03, 1
B15, Trade, 547.769, 95, S05, B15, 1
B15, Trade, 552.269, 98, S12, B15, 1
B15, Trade, 559.885, 96, S08, B15, 1
B15, Trade, 560.885, 97, S03, B15, 1
B15, Trade, 568.981, 98, S05, B15, 1
B15, Trade, 578.308, 98, S12, B15, 1
B15, Trade, 587.250, 96, S01, B15, 1
B15, Trade, 601.077, 98, S12, B15, 1
B15, Trade, 607.481, 96, S03, B15, 1
B15, Trade, 621.212, 101, S11, B15, 1
B15, Trade, 626.865, 96, S08, B15, 1
B15, Trade, 632.500, 97, S02, B15, 1
B15, Trade, 653.154, 95, S02, B15, 1
B15, Trade, 656.885, 106, S14, B15, 1
B15, Trade, 663.077, 99, B15, S03, 1
B15, Trade, 679.327, 91, B15, S07, 1
B15, Trade, 700.365, 96, S02, B15, 1
B15, Trade, 705.346, 97, S01, B15, 1
B15, Trade, 720.962, 96, S08, B15, 1
B15, Trade, 731.442, 96, S05, B15, 1
B15, Trade, 740.288, 103, S13, B15, 1
B15, Trade, 746.173, 102, B15, S07, 1
B15, Trade, 761.692, 100, S08, B15, 1
B15, Trade, 769.365, 97, S05, B15, 1
B15, Trade, 781.500, 97, S05, B15, 1
B15, Trade, 794.750, 96, S08, B15, 1
B15, Trade, 798.904, 101, S06, B15, 1
B15, Trade, 802.904, 98, S01, B15, 1
B15, Trade, 820.423, 100, B15, S08, 1
B15, Trade, 825.788, 101, S03, B15, 1
B15, Trade, 833.327, 102, S13, B15, 1
B15, Trade, 862.231, 95, S03, B15, 1
B16, 100
B16, Trade, 82.558, 93, B16, S06, 1
B16, Trade, 86.500, 92, B16, S07, 1
B16, Trade, 100.462, 98, B16, S03, 1
B16, Trade, 115.212, 95, B16, S11, 1
B16, Trade, 120.577, 94, S04, B16, 1
B16, Trade, 131.712, 98, B16, S06, 1
B16, Trade, 136.808, 97, B16, S03, 1
B16, Trade, 140.038, 96, S02, B16, 1
B16, Trade, 149.423, 98, B16, S04, 1
B16, Trade, 165.058, 95, S01, B16, 1
B16, Trade, 170.981, 95, B16, S11, 1
B16, Trade, 176.981, 94, B16, S02, 1
B16, Trade, 193.462, 96, S05, B16, 1
B16, Trade, 199.481, 95, B16, S08, 1
B16, Trade, 211.731, 98, B16, S01, 1
B16, Trade, 216.192, 97, S01, B16, 1
B16, Trade, 234.577, 93, B16, S07, 1
B16, Trade, 238.692, 92, B16, S06, 1
B16, Trade, 247.846, 95, B16, S07, 1
B16, Trade, 253.942, 96, B16, S11, 1
B16, Trade, 262.212, 95, B16, S03, 1
B16, Trade, 268.538, 95, S01, B16, 1
B16, Trade, 271.231, 94, B16, S03, 1
B16, Trade, 276.962, 96, B16, S07, 1
B16, Trade, 280.115, 96, B16, S01, 1
B16, Trade, 284.923, 97, S01, B16, 1
B16, Trade, 287.923, 95, B16, S02, 1
B16, Trade, 302.846, 93, B16, S01, 1
B16, Trade, 307.385, 95, B16, S06, 1
B16, Trade, 311.481, 94, B16, S03, 1
B16, Trade, 321.019, 95, S08, B16, 1
B16, Trade, 333.462, 98, B16, S01, 1
B16, Trade, 338.904, 96, B16, S01, 1
B16, Trade, 347.077, 95, B16, S03, 1
B16, Trade, 353.846, 96, B16, S07, 1
B16, Trade, 369.538, 97, B16, S04, 1
B16, Trade, 375.635, 96, B16, S07, 1
B16, Trade, 381.058, 96, S11, B16, 1
B16, Trade, 390.135, 96, B16, S03, 1
B16, Trade, 397.827, 95, B16, S03, 1
B16, Trade, 400.808, 93, B16, S06, 1
B16, Trade, 414.135, 97, B16, S06, 1
B16, Trade, 418.673, 95, B16, S07, 1
B16, Trade, 423.250, 95, B16, S11, 1
B16, Trade, 443.115, 92, B16, S07, 1
B16, Trade, 450.404, 94, B16, S03, 1
B16, Trade, 455.538, 98, B16, S07, 1
B16, Trade, 462.096, 99, B16, S07, 1
B16, Trade, 467.423, 97, B16, S04, 1
B16, Trade, 473.058, 97, B16, S03, 1
B16, Trade, 479.615, 97, B16, S06, 1
B16, Trade, 484.981, 97, B16, S03, 1
B16, Trade, 486.423, 96, S06, B16, 1
B16, Trade, 491.212, 95, B16, S07, 1
B16, Trade, 503.154, 93, S02, B16, 1
B16, Trade, 516.327, 95, B16, S06, 1
B16, Trade, 524.462, 94, B16, S07, 1
B16, Trade, 536.596, 97, B16, S04, 1
B16, Trade, 540.385, 98, S08, B16, 1
B16, Trade, 547.500, 94, S01, B16, 1
B16, Trade, 556.942, 93, B16, S03, 1
B16, Trade, 557.462, 93, B16, S07, 1
B16, Trade, 570.192, 96, B16, S06, 1
B16, Trade, 575.500, 94, B16, S11, 1
B16, Trade, 584.288, 94, B16, S05, 1
B16, Trade, 592.750, 95, B16, S07, 1
B16, Trade, 600.000, 97, B16, S07, 1
B16, Trade, 612.000, 95, S01, B16, 1
B16, Trade, 618.904, 95, S08, B16, 1
B16, Trade, 621.827, 95, B16, S07, 1
B16, Trade, 627.635, 93, B16, S07, 1
B16, Trade, 637.365, 94, B16, S07, 1
B16, Trade, 646.038, 95, B16, S07, 1
B16, Trade, 652.019, 94, B16, S03, 1
B16, Trade, 668.615, 97, B16, S06, 1
B16, Trade, 673.577, 96, S11, B16, 1
B16, Trade, 676.827, 93, S02, B16, 1
B16, Trade, 683.769, 93, B16, S01, 1
B16, Trade, 693.558, 94, B16, S06, 1
B16, Trade, 701.154, 93, B16, S07, 1
B16, Trade, 706.462, 95, B16, S07, 1
B16, Trade, 743.404, 102, B16, S06, 1
B16, Trade, 751.000, 99, S11, B16, 1
B16, Trade, 754.808, 98, B16, S02, 1
B16, Trade, 756.615, 96, B16, S06, 1
B16, Trade, 763.692, 97, B16, S07, 1
B16, Trade, 767.827, 96, B16, S03, 1
B16, Trade, 775.038, 96, B16, S04, 1
B16, Trade, 777.019, 95, B16, S11, 1
