B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 5
B14, Trade, 4.657, 90, B14, S07, 1
B14, Trade, 369.429, 90, B14, S02, 1
B14, Trade, 555.243, 90, B14, S06, 1
B14, Trade, 735.343, 90, B14, S11, 1
B14, Trade, 830.357, 90, B14, S05, 1
B15, 0
B16, 1
B16, Trade, 820.900, 92, B16, S14, 1
B17, 100
B17, Trade, 276.671, 100, B17, S13, 1
B17, Trade, 283.671, 100, B17, S02, 1
B17, Trade, 286.700, 100, B17, S03, 1
B17, Trade, 295.271, 100, B17, S13, 1
B17, Trade, 307.029, 100, B17, S12, 1
B17, Trade, 310.471, 100, B17, S13, 1
B17, Trade, 314.886, 100, S13, B17, 1
B17, Trade, 322.929, 100, B17, S05, 1
B17, Trade, 333.957, 99, S05, B17, 1
B17, Trade, 340.329, 100, B17, S04, 1
B17, Trade, 345.000, 100, B17, S08, 1
B17, Trade, 349.300, 100, B17, S07, 1
B17, Trade, 356.514, 99, S05, B17, 1
B17, Trade, 357.143, 100, S17, B17, 1
B17, Trade, 365.986, 100, S04, B17, 1
B17, Trade, 372.257, 100, B17, S08, 1
B17, Trade, 377.243, 100, B17, S08, 1
B17, Trade, 385.143, 100, B17, S00, 1
B17, Trade, 395.471, 100, B17, S08, 1
B17, Trade, 402.586, 100, B17, S06, 1
B17, Trade, 405.800, 100, B17, S11, 1
B17, Trade, 408.043, 100, B17, S03, 1
B17, Trade, 414.157, 100, B17, S04, 1
B17, Trade, 422.214, 100, S17, B17, 1
B17, Trade, 427.086, 100, S03, B17, 1
B17, Trade, 429.157, 100, S03, B17, 1
B17, Trade, 435.957, 97, S10, B17, 1
B17, Trade, 439.743, 100, S17, B17, 1
B17, Trade, 445.029, 99, S07, B17, 1
B17, Trade, 452.229, 100, S08, B17, 1
B17, Trade, 456.571, 100, B17, S03, 1
B17, Trade, 460.386, 100, B17, S02, 1
B17, Trade, 462.786, 99, S06, B17, 1
B17, Trade, 471.657, 100, B17, S12, 1
B17, Trade, 479.857, 100, B17, S12, 1
B17, Trade, 484.943, 100, B17, S05, 1
B17, Trade, 496.229, 100, B17, S11, 1
B17, Trade, 502.843, 100, B17, S12, 1
B17, Trade, 506.771, 100, B17, S08, 1
B17, Trade, 513.443, 100, B17, S12, 1
B17, Trade, 522.229, 100, B17, S13, 1
B17, Trade, 526.986, 100, B17, S13, 1
B17, Trade, 530.229, 100, B17, S11, 1
B17, Trade, 536.086, 100, B17, S14, 1
B17, Trade, 544.571, 100, B17, S12, 1
B17, Trade, 552.229, 100, B17, S00, 1
B17, Trade, 557.314, 100, S08, B17, 1
B17, Trade, 560.971, 99, S11, B17, 1
B17, Trade, 562.371, 100, S08, B17, 1
B17, Trade, 570.614, 100, B17, S12, 1
B17, Trade, 576.357, 100, B17, S08, 1
B17, Trade, 586.014, 100, B17, S08, 1
B17, Trade, 589.129, 100, B17, S00, 1
B17, Trade, 594.714, 100, B17, S13, 1
B17, Trade, 602.429, 100, B17, S08, 1
B17, Trade, 606.957, 100, B17, S07, 1
B17, Trade, 616.600, 100, B17, S05, 1
B17, Trade, 622.243, 100, S08, B17, 1
B17, Trade, 624.114, 100, B17, S12, 1
B17, Trade, 633.700, 100, B17, S03, 1
B17, Trade, 638.843, 100, B17, S08, 1
B17, Trade, 640.071, 100, B17, S03, 1
B17, Trade, 649.900, 100, B17, S13, 1
B17, Trade, 651.714, 100, B17, S05, 1
B17, Trade, 656.814, 100, B17, S14, 1
B17, Trade, 662.957, 100, B17, S05, 1
B17, Trade, 665.943, 100, B17, S06, 1
B17, Trade, 670.686, 100, B17, S14, 1
B17, Trade, 678.757, 100, B17, S04, 1
B17, Trade, 687.214, 98, S10, B17, 1
B17, Trade, 699.086, 100, B17, S14, 1
B17, Trade, 704.500, 100, B17, S06, 1
B17, Trade, 713.714, 100, B17, S13, 1
B17, Trade, 716.229, 100, B17, S01, 1
B17, Trade, 720.100, 100, B17, S13, 1
B17, Trade, 726.943, 98, S06, B17, 1
B17, Trade, 728.271, 100, B17, S01, 1
B17, Trade, 736.943, 97, S07, B17, 1
B17, Trade, 740.257, 100, S07, B17, 1
B17, Trade, 747.571, 100, B17, S08, 1
B17, Trade, 752.386, 100, B17, S06, 1
B17, Trade, 757.400, 100, B17, S04, 1
B17, Trade, 762.557, 100, B17, S06, 1
B17, Trade, 766.143, 100, B17, S01, 1
B17, Trade, 771.929, 100, S08, B17, 1
B17, Trade, 776.657, 97, S07, B17, 1
B17, Trade, 781.800, 100, B17, S13, 1
B17, Trade, 787.514, 100, B17, S12, 1
B17, Trade, 790.043, 97, S10, B17, 1
B17, Trade, 797.829, 100, B17, S14, 1
B17, Trade, 802.900, 100, S17, B17, 1
B17, Trade, 808.271, 100, S17, B17, 1
B17, Trade, 812.129, 99, S11, B17, 1
B17, Trade, 816.643, 96, S07, B17, 1
B17, Trade, 821.957, 100, S08, B17, 1
B17, Trade, 829.500, 100, B17, S17, 1
B17, Trade, 843.000, 100, B17, S13, 1
B17, Trade, 845.414, 100, B17, S13, 1
B17, Trade, 854.029, 100, B17, S00, 1
B17, Trade, 856.729, 100, B17, S11, 1
B18, 100
B18, Trade, 214.271, 100, B18, S12, 1
B18, Trade, 219.857, 100, B18, S00, 1
B18, Trade, 225.086, 100, B18, S13, 1
B18, Trade, 228.314, 100, B18, S12, 1
B18, Trade, 246.657, 100, B18, S13, 1
B18, Trade, 252.729, 100, B18, S02, 1
B18, Trade, 256.371, 96, S15, B18, 1
B18, Trade, 264.543, 100, B18, S15, 1
B18, Trade, 270.671, 100, B18, S14, 1
B18, Trade, 281.300, 100, B18, S12, 1
B18, Trade, 294.957, 100, B18, S00, 1
B18, Trade, 298.414, 100, B18, S00, 1
B18, Trade, 306.843, 100, B18, S13, 1
B18, Trade, 311.471, 100, B18, S14, 1
B18, Trade, 314.400, 100, S10, B18, 1
B18, Trade, 323.157, 100, B18, S00, 1
B18, Trade, 330.057, 100, B18, S00, 1
B18, Trade, 334.786, 100, B18, S03, 1
B18, Trade, 343.357, 100, B18, S05, 1
B18, Trade, 349.429, 100, B18, S14, 1
B18, Trade, 356.743, 100, S07, B18, 1
B18, Trade, 358.200, 100, S10, B18, 1
B18, Trade, 364.486, 100, S10, B18, 1
B18, Trade, 370.586, 99, S06, B18, 1
B18, Trade, 377.686, 100, B18, S12, 1
B18, Trade, 385.643, 100, B18, S03, 1
B18, Trade, 390.571, 100, B18, S05, 1
B18, Trade, 403.143, 100, B18, S12, 1
B18, Trade, 417.114, 100, B18, S13, 1
B18, Trade, 422.471, 100, S04, B18, 1
B18, Trade, 425.429, 100, S12, B18, 1
B18, Trade, 431.857, 100, S04, B18, 1
B18, Trade, 435.043, 100, S17, B18, 1
B18, Trade, 437.714, 98, S11, B18, 1
B18, Trade, 446.729, 100, S03, B18, 1
B18, Trade, 452.386, 100, S04, B18, 1
B18, Trade, 460.457, 100, B18, S07, 1
B18, Trade, 465.386, 100, S13, B18, 1
B18, Trade, 476.257, 100, B18, S00, 1
B18, Trade, 483.643, 100, B18, S04, 1
B18, Trade, 492.000, 100, B18, S13, 1
B18, Trade, 497.600, 100, B18, S08, 1
B18, Trade, 499.571, 100, S10, B18, 1
B18, Trade, 509.814, 100, B18, S13, 1
