B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 7
B15, Trade, 187.743, 94, B15, S13, 1
B15, Trade, 294.386, 94, B15, S10, 1
B15, Trade, 393.000, 94, B15, S07, 1
B15, Trade, 412.743, 94, B15, S01, 1
B15, Trade, 477.029, 94, B15, S01, 1
B15, Trade, 573.929, 94, B15, S07, 1
B15, Trade, 675.429, 94, B15, S07, 1
B16, 61
B16, Trade, 4.986, 97, B16, S07, 1
B16, Trade, 48.486, 97, B16, S06, 1
B16, Trade, 61.314, 97, B16, S10, 1
B16, Trade, 65.443, 97, B16, S13, 1
B16, Trade, 88.943, 97, B16, S01, 1
B16, Trade, 94.729, 97, B16, S08, 1
B16, Trade, 98.457, 97, B16, S13, 1
B16, Trade, 122.986, 97, B16, S07, 1
B16, Trade, 134.229, 97, B16, S13, 1
B16, Trade, 149.971, 97, B16, S07, 1
B16, Trade, 171.814, 97, B16, S13, 1
B16, Trade, 193.714, 97, B16, S07, 1
B16, Trade, 214.514, 97, B16, S13, 1
B16, Trade, 219.929, 97, B16, S01, 1
B16, Trade, 236.329, 97, B16, S10, 1
B16, Trade, 257.329, 97, B16, S07, 1
B16, Trade, 268.629, 97, B16, S10, 1
B16, Trade, 285.557, 97, B16, S13, 1
B16, Trade, 292.671, 97, B16, S13, 1
B16, Trade, 303.314, 97, B16, S07, 1
B16, Trade, 331.314, 97, B16, S07, 1
B16, Trade, 345.014, 97, B16, S10, 1
B16, Trade, 357.443, 97, B16, S03, 1
B16, Trade, 359.529, 97, B16, S10, 1
B16, Trade, 381.700, 97, B16, S07, 1
B16, Trade, 392.029, 97, B16, S01, 1
B16, Trade, 393.686, 97, B16, S13, 1
B16, Trade, 403.043, 97, B16, S10, 1
B16, Trade, 412.043, 97, B16, S01, 1
B16, Trade, 419.457, 97, B16, S07, 1
B16, Trade, 429.671, 97, B16, S07, 1
B16, Trade, 451.414, 97, B16, S13, 1
B16, Trade, 460.800, 97, B16, S07, 1
B16, Trade, 483.714, 97, B16, S07, 1
B16, Trade, 486.729, 97, B16, S01, 1
B16, Trade, 502.086, 97, B16, S10, 1
B16, Trade, 524.343, 97, B16, S13, 1
B16, Trade, 526.643, 97, B16, S07, 1
B16, Trade, 544.143, 97, B16, S10, 1
B16, Trade, 569.257, 97, B16, S10, 1
B16, Trade, 573.243, 97, B16, S13, 1
B16, Trade, 582.843, 97, B16, S10, 1
B16, Trade, 601.857, 97, B16, S10, 1
B16, Trade, 608.486, 97, B16, S10, 1
B16, Trade, 619.429, 97, B16, S13, 1
B16, Trade, 636.457, 97, B16, S07, 1
