B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 2.780, 58, S02, B05, 1
B06, 0
B07, 0
B08, 1
B08, Trade, 232.540, 83, B08, S06, 1
B09, 64
B09, Trade, 24.440, 87, B09, S06, 1
B09, Trade, 43.320, 87, B09, S08, 1
B09, Trade, 81.040, 87, B09, S01, 1
B09, Trade, 97.540, 87, B09, S08, 1
B09, Trade, 100.220, 87, B09, S08, 1
B09, Trade, 118.980, 87, B09, S02, 1
B09, Trade, 128.860, 87, B09, S06, 1
B09, Trade, 144.620, 87, B09, S08, 1
B09, Trade, 154.180, 87, B09, S06, 1
B09, Trade, 194.680, 87, B09, S06, 1
B09, Trade, 207.780, 87, B09, S00, 1
B09, Trade, 223.940, 87, B09, S06, 1
B09, Trade, 232.480, 87, B09, S02, 1
B09, Trade, 250.640, 87, B09, S02, 1
B09, Trade, 256.000, 87, B09, S06, 1
B09, Trade, 262.620, 87, B09, S02, 1
B09, Trade, 292.820, 87, B09, S06, 1
B09, Trade, 317.740, 87, B09, S08, 1
B09, Trade, 325.120, 87, B09, S02, 1
B09, Trade, 336.120, 87, B09, S06, 1
B09, Trade, 349.440, 87, B09, S08, 1
B09, Trade, 351.900, 87, S03, B09, 1
B09, Trade, 355.140, 87, B09, S06, 1
B09, Trade, 359.880, 87, B09, S02, 1
B09, Trade, 363.700, 87, B09, S06, 1
B09, Trade, 381.280, 87, B09, S02, 1
B09, Trade, 383.840, 87, B09, S06, 1
B09, Trade, 393.100, 87, B09, S08, 1
B09, Trade, 411.600, 87, B09, S03, 1
B09, Trade, 429.240, 87, B09, S04, 1
B09, Trade, 441.720, 87, B09, S02, 1
B09, Trade, 450.340, 87, B09, S06, 1
B09, Trade, 460.280, 87, B09, S07, 1
B09, Trade, 471.000, 87, B09, S02, 1
B09, Trade, 492.340, 87, B09, S08, 1
B09, Trade, 513.640, 87, B09, S02, 1
B09, Trade, 525.040, 87, B09, S02, 1
B09, Trade, 535.120, 87, B09, S02, 1
B09, Trade, 536.660, 87, B09, S04, 1
B09, Trade, 549.000, 87, B09, S05, 1
B09, Trade, 567.980, 87, B09, S02, 1
B09, Trade, 581.100, 87, B09, S08, 1
B09, Trade, 597.680, 87, B09, S08, 1
B09, Trade, 616.340, 87, B09, S08, 1
B09, Trade, 620.740, 87, B09, S08, 1
