B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 2
B10, Trade, 834.060, 91, B10, S09, 1
B10, Trade, 853.000, 91, B10, S00, 1
B11, 28
B11, Trade, 54.920, 95, B11, S04, 1
B11, Trade, 156.440, 95, S11, B11, 1
B11, Trade, 171.660, 95, B11, S00, 1
B11, Trade, 185.640, 95, B11, S09, 1
B11, Trade, 196.780, 95, B11, S04, 1
B11, Trade, 198.780, 95, B11, S09, 1
B11, Trade, 257.520, 95, B11, S04, 1
B11, Trade, 280.280, 95, B11, S07, 1
B11, Trade, 285.760, 95, B11, S04, 1
B11, Trade, 312.680, 95, B11, S04, 1
B11, Trade, 345.680, 95, B11, S05, 1
B11, Trade, 367.940, 95, B11, S09, 1
B11, Trade, 384.700, 95, B11, S04, 1
B11, Trade, 429.260, 95, B11, S04, 1
B11, Trade, 448.620, 95, B11, S00, 1
B11, Trade, 476.160, 95, S11, B11, 1
B11, Trade, 482.460, 95, B11, S09, 1
B11, Trade, 553.780, 95, B11, S05, 1
B11, Trade, 567.460, 95, B11, S05, 1
B11, Trade, 611.780, 95, B11, S00, 1
B11, Trade, 665.740, 95, B11, S09, 1
B11, Trade, 671.840, 95, B11, S11, 1
B11, Trade, 688.240, 95, B11, S05, 1
B11, Trade, 692.720, 95, B11, S05, 1
B11, Trade, 696.040, 95, B11, S00, 1
B11, Trade, 802.560, 95, B11, S04, 1
B11, Trade, 830.300, 95, B11, S04, 1
B11, Trade, 850.180, 95, B11, S07, 1
B12, 57
B12, Trade, 19.540, 100, B12, S04, 1
B12, Trade, 110.140, 100, B12, S04, 1
B12, Trade, 126.660, 100, B12, S11, 1
B12, Trade, 155.100, 100, B12, S05, 1
B12, Trade, 157.740, 100, B12, S11, 1
B12, Trade, 179.000, 100, B12, S11, 1
B12, Trade, 185.080, 96, B12, S11, 1
B12, Trade, 222.320, 100, B12, S04, 1
B12, Trade, 242.540, 100, B12, S04, 1
B12, Trade, 251.240, 100, B12, S04, 1
B12, Trade, 256.820, 100, B12, S05, 1
B12, Trade, 262.280, 100, B12, S11, 1
B12, Trade, 266.840, 100, B12, S04, 1
B12, Trade, 280.980, 93, S05, B12, 1
B12, Trade, 310.740, 93, B12, S04, 1
B12, Trade, 316.260, 100, B12, S11, 1
B12, Trade, 319.180, 100, B12, S09, 1
B12, Trade, 330.980, 100, B12, S09, 1
B12, Trade, 339.020, 100, B12, S09, 1
B12, Trade, 344.800, 100, B12, S09, 1
B12, Trade, 347.660, 100, B12, S11, 1
B12, Trade, 352.220, 96, B12, S11, 1
B12, Trade, 356.580, 99, B12, S04, 1
B12, Trade, 362.920, 100, B12, S07, 1
B12, Trade, 383.880, 100, B12, S11, 1
B12, Trade, 414.020, 100, B12, S09, 1
B12, Trade, 429.020, 100, B12, S09, 1
B12, Trade, 450.240, 94, B12, S04, 1
B12, Trade, 475.260, 100, B12, S09, 1
B12, Trade, 486.920, 100, B12, S09, 1
B12, Trade, 510.200, 98, B12, S11, 1
B12, Trade, 535.980, 99, B12, S00, 1
B12, Trade, 540.380, 97, B12, S04, 1
B12, Trade, 553.760, 100, B12, S11, 1
B12, Trade, 565.900, 100, B12, S00, 1
B12, Trade, 577.820, 100, B12, S00, 1
B12, Trade, 581.840, 96, B12, S05, 1
B12, Trade, 590.080, 100, B12, S00, 1
B12, Trade, 612.360, 95, B12, S09, 1
B12, Trade, 619.040, 95, B12, S04, 1
B12, Trade, 629.160, 100, B12, S11, 1
