B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 200.920, 95, B11, S08, 1
B12, 32
B12, Trade, 8.540, 96, B12, S05, 1
B12, Trade, 10.740, 96, B12, S08, 1
B12, Trade, 101.320, 99, B12, S08, 1
B12, Trade, 136.120, 99, B12, S08, 1
B12, Trade, 160.820, 99, B12, S07, 1
B12, Trade, 192.180, 99, B12, S08, 1
B12, Trade, 195.480, 98, S05, B12, 1
B12, Trade, 206.500, 99, B12, S08, 1
B12, Trade, 234.880, 99, B12, S04, 1
B12, Trade, 240.600, 99, B12, S08, 1
B12, Trade, 259.380, 99, B12, S08, 1
B12, Trade, 284.480, 99, B12, S07, 1
B12, Trade, 302.720, 98, B12, S08, 1
B12, Trade, 399.120, 99, B12, S04, 1
B12, Trade, 405.780, 99, B12, S07, 1
B12, Trade, 432.940, 98, B12, S06, 1
B12, Trade, 485.940, 99, B12, S11, 1
B12, Trade, 489.620, 99, B12, S06, 1
B12, Trade, 508.040, 99, B12, S08, 1
B12, Trade, 518.060, 99, B12, S04, 1
B12, Trade, 540.680, 99, B12, S08, 1
B12, Trade, 588.540, 99, B12, S08, 1
B12, Trade, 610.880, 99, B12, S07, 1
B12, Trade, 627.500, 99, B12, S08, 1
B12, Trade, 664.160, 99, B12, S08, 1
B12, Trade, 692.940, 99, B12, S08, 1
B12, Trade, 700.860, 99, B12, S08, 1
B12, Trade, 724.440, 99, B12, S07, 1
B12, Trade, 776.720, 99, S06, B12, 1
B12, Trade, 789.240, 99, B12, S08, 1
B12, Trade, 803.900, 99, B12, S08, 1
B12, Trade, 828.640, 99, B12, S08, 1
B13, 100
B13, Trade, 164.780, 103, S10, B13, 1
B13, Trade, 174.900, 104, S13, B13, 1
B13, Trade, 178.900, 103, S09, B13, 1
B13, Trade, 187.180, 102, S06, B13, 1
B13, Trade, 187.700, 103, S05, B13, 1
B13, Trade, 197.460, 104, B13, S13, 1
B13, Trade, 200.960, 103, S12, B13, 1
B13, Trade, 206.060, 104, S13, B13, 1
B13, Trade, 234.820, 104, B13, S13, 1
B13, Trade, 256.820, 100, S12, B13, 1
B13, Trade, 262.920, 103, S12, B13, 1
B13, Trade, 274.440, 104, B13, S07, 1
B13, Trade, 279.740, 104, S05, B13, 1
B13, Trade, 282.200, 104, S09, B13, 1
B13, Trade, 290.960, 103, S01, B13, 1
B13, Trade, 297.120, 104, B13, S08, 1
B13, Trade, 302.200, 103, S01, B13, 1
