B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 171.080, 79, B07, S04, 1
B08, 1
B08, Trade, 527.380, 83, B08, S00, 1
B09, 13
B09, Trade, 2.440, 65, S01, B09, 1
B09, Trade, 49.480, 86, B09, S00, 1
B09, Trade, 89.560, 87, B09, S00, 1
B09, Trade, 128.800, 87, B09, S05, 1
B09, Trade, 436.720, 84, S01, B09, 1
B09, Trade, 497.780, 87, B09, S04, 1
B09, Trade, 551.200, 87, B09, S05, 1
B09, Trade, 645.680, 87, B09, S08, 1
B09, Trade, 701.380, 87, B09, S04, 1
B09, Trade, 723.560, 83, S01, B09, 1
B09, Trade, 753.000, 87, B09, S08, 1
B09, Trade, 772.800, 87, B09, S04, 1
B09, Trade, 854.800, 87, B09, S09, 1
B10, 32
B10, Trade, 13.380, 91, B10, S04, 1
B10, Trade, 17.480, 91, B10, S05, 1
B10, Trade, 32.940, 91, B10, S08, 1
B10, Trade, 41.280, 91, B10, S08, 1
B10, Trade, 48.940, 91, B10, S08, 1
B10, Trade, 88.700, 91, B10, S08, 1
B10, Trade, 152.780, 91, B10, S04, 1
B10, Trade, 170.200, 91, B10, S10, 1
B10, Trade, 190.940, 91, B10, S10, 1
B10, Trade, 224.240, 91, B10, S00, 1
B10, Trade, 233.380, 91, B10, S04, 1
B10, Trade, 276.320, 91, B10, S08, 1
B10, Trade, 277.000, 91, B10, S05, 1
B10, Trade, 301.020, 91, B10, S04, 1
B10, Trade, 365.700, 91, B10, S05, 1
B10, Trade, 374.860, 91, B10, S04, 1
B10, Trade, 400.660, 91, B10, S10, 1
B10, Trade, 435.420, 91, B10, S04, 1
B10, Trade, 472.560, 91, B10, S10, 1
B10, Trade, 498.080, 91, B10, S08, 1
B10, Trade, 545.140, 91, B10, S08, 1
B10, Trade, 552.400, 91, S06, B10, 1
B10, Trade, 614.040, 91, B10, S08, 1
B10, Trade, 644.080, 91, B10, S08, 1
B10, Trade, 682.900, 91, B10, S07, 1
B10, Trade, 700.300, 91, B10, S08, 1
B10, Trade, 703.980, 91, B10, S00, 1
B10, Trade, 722.440, 91, B10, S05, 1
B10, Trade, 749.980, 88, S01, B10, 1
B10, Trade, 772.340, 89, S09, B10, 1
B10, Trade, 795.420, 91, B10, S10, 1
B10, Trade, 855.160, 91, S10, B10, 1
B11, 4
B11, Trade, 35.100, 91, S09, B11, 1
B11, Trade, 153.640, 91, S06, B11, 1
B11, Trade, 183.260, 83, S01, B11, 1
B11, Trade, 684.060, 87, S02, B11, 1
B12, 84
B12, Trade, 5.360, 98, B12, S08, 1
B12, Trade, 12.880, 98, B12, S08, 1
B12, Trade, 21.460, 99, B12, S00, 1
B12, Trade, 24.560, 97, B12, S08, 1
B12, Trade, 30.780, 97, B12, S08, 1
B12, Trade, 34.800, 87, S03, B12, 1
B12, Trade, 41.620, 87, S01, B12, 1
B12, Trade, 44.940, 96, B12, S09, 1
B12, Trade, 48.600, 99, B12, S07, 1
B12, Trade, 59.980, 99, B12, S05, 1
B12, Trade, 62.780, 93, B12, S08, 1
B12, Trade, 70.580, 99, B12, S10, 1
B12, Trade, 78.780, 98, B12, S11, 1
B12, Trade, 81.740, 99, B12, S05, 1
B12, Trade, 118.980, 98, B12, S08, 1
B12, Trade, 120.780, 95, S01, B12, 1
B12, Trade, 138.540, 98, S01, B12, 1
B12, Trade, 151.980, 97, B12, S00, 1
B12, Trade, 161.200, 99, B12, S08, 1
B12, Trade, 169.480, 91, S01, B12, 1
B12, Trade, 182.760, 99, B12, S00, 1
B12, Trade, 189.960, 97, B12, S05, 1
B12, Trade, 210.300, 99, B12, S08, 1
B12, Trade, 230.400, 99, B12, S00, 1
B12, Trade, 233.300, 91, S02, B12, 1
B12, Trade, 239.920, 98, B12, S04, 1
B12, Trade, 262.080, 99, B12, S08, 1
B12, Trade, 275.660, 99, B12, S04, 1
B12, Trade, 283.020, 98, B12, S07, 1
B12, Trade, 290.640, 99, B12, S10, 1
B12, Trade, 296.400, 99, B12, S04, 1
B12, Trade, 299.560, 92, S01, B12, 1
B12, Trade, 304.760, 93, B12, S04, 1
B12, Trade, 319.980, 99, B12, S08, 1
B12, Trade, 325.260, 99, B12, S10, 1
B12, Trade, 347.360, 99, B12, S04, 1
B12, Trade, 362.880, 98, B12, S10, 1
B12, Trade, 394.940, 99, B12, S04, 1
B12, Trade, 406.840, 96, S10, B12, 1
B12, Trade, 412.160, 99, B12, S04, 1
B12, Trade, 420.060, 91, S03, B12, 1
B12, Trade, 432.900, 99, B12, S00, 1
B12, Trade, 441.420, 99, B12, S04, 1
B12, Trade, 448.380, 98, B12, S07, 1
B12, Trade, 449.560, 99, B12, S08, 1
B12, Trade, 472.920, 91, S01, B12, 1
B12, Trade, 482.060, 99, B12, S08, 1
B12, Trade, 493.440, 99, B12, S05, 1
B12, Trade, 506.940, 99, B12, S08, 1
B12, Trade, 537.820, 99, B12, S08, 1
B12, Trade, 543.820, 98, B12, S10, 1
B12, Trade, 550.260, 87, S02, B12, 1
B12, Trade, 567.600, 99, B12, S10, 1
B12, Trade, 578.500, 99, B12, S04, 1
B12, Trade, 594.640, 99, B12, S04, 1
B12, Trade, 604.500, 99, B12, S04, 1
B12, Trade, 621.780, 99, B12, S04, 1
B12, Trade, 640.520, 99, B12, S10, 1
B12, Trade, 642.200, 91, S03, B12, 1
B12, Trade, 660.320, 99, B12, S05, 1
B12, Trade, 669.560, 99, B12, S05, 1
B12, Trade, 682.860, 99, B12, S00, 1
B12, Trade, 688.400, 99, B12, S04, 1
B12, Trade, 697.700, 99, B12, S10, 1
B12, Trade, 704.620, 91, B12, S08, 1
B12, Trade, 715.500, 98, S03, B12, 1
B12, Trade, 717.960, 91, S02, B12, 1
B12, Trade, 730.060, 98, B12, S04, 1
B12, Trade, 738.840, 99, B12, S08, 1
B12, Trade, 749.260, 96, B12, S00, 1
B12, Trade, 757.880, 94, B12, S04, 1
B12, Trade, 760.520, 98, B12, S00, 1
B12, Trade, 769.040, 98, B12, S10, 1
B12, Trade, 771.760, 87, S02, B12, 1
B12, Trade, 777.320, 97, B12, S00, 1
B12, Trade, 786.760, 87, S01, B12, 1
B12, Trade, 794.220, 99, B12, S08, 1
B12, Trade, 796.080, 87, S02, B12, 1
B12, Trade, 803.360, 97, B12, S04, 1
B12, Trade, 813.960, 97, S03, B12, 1
B12, Trade, 820.900, 95, B12, S10, 1
B12, Trade, 827.440, 96, B12, S04, 1
B12, Trade, 832.800, 98, S02, B12, 1
B12, Trade, 853.100, 98, S05, B12, 1
B13, 100
B13, Trade, 266.780, 100, S09, B13, 1
B13, Trade, 272.940, 102, S03, B13, 1
B13, Trade, 280.300, 104, B13, S04, 1
B13, Trade, 283.820, 99, S10, B13, 1
B13, Trade, 292.400, 104, B13, S09, 1
B13, Trade, 303.120, 104, S13, B13, 1
B13, Trade, 306.760, 104, S13, B13, 1
B13, Trade, 309.080, 104, B13, S04, 1
B13, Trade, 313.680, 103, S02, B13, 1
B13, Trade, 325.080, 99, S02, B13, 1
B13, Trade, 333.540, 104, B13, S00, 1
B13, Trade, 343.000, 104, B13, S10, 1
B13, Trade, 345.680, 104, S13, B13, 1
B13, Trade, 350.500, 102, S09, B13, 1
B13, Trade, 357.920, 104, S13, B13, 1
B13, Trade, 363.360, 98, S01, B13, 1
B13, Trade, 370.460, 104, B13, S08, 1
B13, Trade, 380.940, 102, S02, B13, 1
B13, Trade, 382.240, 101, S12, B13, 1
B13, Trade, 383.780, 104, B13, S10, 1
B13, Trade, 387.780, 104, S09, B13, 1
B13, Trade, 400.540, 104, B13, S08, 1
B13, Trade, 403.880, 104, B13, S08, 1
B13, Trade, 409.740, 104, S13, B13, 1
B13, Trade, 410.180, 100, S09, B13, 1
B13, Trade, 416.880, 101, S01, B13, 1
B13, Trade, 420.460, 102, S09, B13, 1
B13, Trade, 425.040, 104, S13, B13, 1
B13, Trade, 434.240, 102, S12, B13, 1
B13, Trade, 436.000, 83, S03, B13, 1
B13, Trade, 442.140, 91, S01, B13, 1
