B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 3
B06, Trade, 4.300, 72, S05, B06, 1
B06, Trade, 222.800, 74, B06, S04, 1
B06, Trade, 749.040, 72, B06, S04, 1
B07, 6
B07, Trade, 62.140, 79, B07, S06, 1
B07, Trade, 221.040, 76, B07, S05, 1
B07, Trade, 300.680, 79, B07, S00, 1
B07, Trade, 353.880, 75, B07, S04, 1
B07, Trade, 640.880, 75, B07, S04, 1
B07, Trade, 748.880, 76, B07, S05, 1
B08, 15
B08, Trade, 6.200, 82, B08, S04, 1
B08, Trade, 12.520, 82, B08, S06, 1
B08, Trade, 36.780, 82, B08, S00, 1
B08, Trade, 61.980, 80, B08, S04, 1
B08, Trade, 194.120, 80, B08, S04, 1
B08, Trade, 222.760, 80, B08, S00, 1
B08, Trade, 237.380, 82, B08, S06, 1
B08, Trade, 247.740, 81, B08, S00, 1
B08, Trade, 376.560, 82, B08, S05, 1
B08, Trade, 415.340, 81, B08, S04, 1
B08, Trade, 463.580, 81, B08, S00, 1
B08, Trade, 577.160, 80, B08, S00, 1
B08, Trade, 633.460, 80, B08, S03, 1
B08, Trade, 640.720, 79, B08, S06, 1
B08, Trade, 680.520, 82, B08, S00, 1
B09, 3
B09, Trade, 221.020, 85, B09, S06, 1
B09, Trade, 352.600, 85, B09, S06, 1
B09, Trade, 413.280, 82, B09, S06, 1
B10, 38
B10, Trade, 27.080, 91, B10, S06, 1
B10, Trade, 35.740, 91, B10, S04, 1
B10, Trade, 43.700, 91, B10, S05, 1
B10, Trade, 61.820, 91, B10, S00, 1
B10, Trade, 66.220, 91, B10, S05, 1
B10, Trade, 97.620, 91, B10, S00, 1
B10, Trade, 110.620, 91, B10, S06, 1
B10, Trade, 122.080, 91, B10, S03, 1
B10, Trade, 132.880, 91, B10, S05, 1
B10, Trade, 153.920, 91, B10, S00, 1
B10, Trade, 176.480, 91, B10, S06, 1
B10, Trade, 194.560, 91, B10, S06, 1
B10, Trade, 237.040, 91, B10, S04, 1
B10, Trade, 247.500, 91, B10, S05, 1
B10, Trade, 265.780, 91, B10, S03, 1
B10, Trade, 286.760, 91, B10, S06, 1
B10, Trade, 300.600, 91, B10, S10, 1
B10, Trade, 314.780, 91, B10, S00, 1
B10, Trade, 329.700, 91, B10, S04, 1
B10, Trade, 339.900, 91, B10, S04, 1
B10, Trade, 352.480, 91, B10, S00, 1
B10, Trade, 355.960, 91, B10, S00, 1
B10, Trade, 413.240, 91, B10, S00, 1
B10, Trade, 423.420, 91, B10, S06, 1
B10, Trade, 452.660, 91, B10, S05, 1
B10, Trade, 463.220, 91, B10, S06, 1
B10, Trade, 477.520, 91, B10, S04, 1
B10, Trade, 490.480, 91, B10, S05, 1
B10, Trade, 504.920, 91, B10, S03, 1
B10, Trade, 527.160, 91, B10, S03, 1
B10, Trade, 576.520, 91, B10, S06, 1
B10, Trade, 624.340, 91, B10, S03, 1
B10, Trade, 633.220, 91, B10, S05, 1
B10, Trade, 640.520, 91, B10, S01, 1
B10, Trade, 652.240, 91, B10, S09, 1
B10, Trade, 674.260, 91, B10, S00, 1
B10, Trade, 851.100, 91, B10, S04, 1
B10, Trade, 858.040, 91, B10, S04, 1
B11, 74
B11, Trade, 6.020, 83, B11, S05, 1
B11, Trade, 12.400, 93, B11, S04, 1
B11, Trade, 24.640, 92, B11, S06, 1
B11, Trade, 34.040, 94, B11, S06, 1
B11, Trade, 55.880, 92, B11, S00, 1
B11, Trade, 70.620, 94, B11, S00, 1
B11, Trade, 89.500, 94, B11, S06, 1
B11, Trade, 109.980, 94, B11, S04, 1
B11, Trade, 121.720, 93, B11, S06, 1
B11, Trade, 130.340, 94, B11, S00, 1
B11, Trade, 149.800, 93, B11, S04, 1
B11, Trade, 153.060, 93, B11, S04, 1
B11, Trade, 157.640, 94, B11, S06, 1
B11, Trade, 173.920, 94, B11, S05, 1
B11, Trade, 193.680, 94, B11, S05, 1
B11, Trade, 205.420, 94, B11, S06, 1
B11, Trade, 221.000, 94, B11, S04, 1
B11, Trade, 236.160, 94, B11, S01, 1
B11, Trade, 247.180, 94, B11, S04, 1
B11, Trade, 255.680, 94, B11, S05, 1
B11, Trade, 262.060, 92, B11, S00, 1
B11, Trade, 266.300, 92, S10, B11, 1
B11, Trade, 274.640, 94, B11, S06, 1
B11, Trade, 289.240, 92, B11, S00, 1
B11, Trade, 293.240, 91, B11, S06, 1
B11, Trade, 312.780, 92, B11, S00, 1
B11, Trade, 317.480, 94, B11, S06, 1
B11, Trade, 329.120, 94, B11, S05, 1
B11, Trade, 339.460, 94, B11, S03, 1
B11, Trade, 354.500, 85, B11, S05, 1
B11, Trade, 374.960, 94, B11, S06, 1
B11, Trade, 392.020, 94, B11, S06, 1
B11, Trade, 394.940, 93, B11, S06, 1
B11, Trade, 406.380, 94, B11, S00, 1
B11, Trade, 414.180, 88, B11, S05, 1
B11, Trade, 423.500, 91, B11, S00, 1
B11, Trade, 429.340, 94, B11, S00, 1
B11, Trade, 443.540, 93, B11, S01, 1
B11, Trade, 454.680, 91, B11, S05, 1
B11, Trade, 471.360, 94, B11, S05, 1
B11, Trade, 485.580, 91, B11, S03, 1
B11, Trade, 493.800, 92, B11, S03, 1
B11, Trade, 501.080, 93, B11, S05, 1
B11, Trade, 509.860, 89, B11, S00, 1
B11, Trade, 520.820, 93, B11, S05, 1
B11, Trade, 525.880, 92, B11, S00, 1
B11, Trade, 529.000, 92, B11, S00, 1
B11, Trade, 534.100, 94, B11, S06, 1
B11, Trade, 543.120, 93, B11, S05, 1
B11, Trade, 549.860, 93, B11, S06, 1
B11, Trade, 559.540, 94, B11, S06, 1
B11, Trade, 565.120, 94, B11, S03, 1
B11, Trade, 575.160, 93, B11, S04, 1
B11, Trade, 594.680, 94, B11, S00, 1
B11, Trade, 611.160, 94, B11, S01, 1
B11, Trade, 615.980, 93, B11, S04, 1
B11, Trade, 626.140, 93, B11, S06, 1
B11, Trade, 632.740, 94, B11, S04, 1
B11, Trade, 634.300, 75, S06, B11, 1
B11, Trade, 640.320, 94, B11, S02, 1
B11, Trade, 649.880, 94, B11, S04, 1
B11, Trade, 661.600, 94, B11, S01, 1
B11, Trade, 674.100, 94, B11, S05, 1
B11, Trade, 680.340, 92, B11, S04, 1
B11, Trade, 713.260, 94, B11, S04, 1
B11, Trade, 717.620, 94, B11, S04, 1
B11, Trade, 733.720, 94, S09, B11, 1
B11, Trade, 741.000, 93, B11, S03, 1
B11, Trade, 744.840, 93, B11, S04, 1
B11, Trade, 767.960, 94, B11, S00, 1
B11, Trade, 786.480, 94, B11, S06, 1
B11, Trade, 802.940, 93, B11, S05, 1
B11, Trade, 813.200, 94, B11, S05, 1
B11, Trade, 846.560, 92, B11, S04, 1
B12, 13
B12, Trade, 9.280, 96, S08, B12, 1
B12, Trade, 38.140, 94, S07, B12, 1
B12, Trade, 83.660, 96, B12, S05, 1
B12, Trade, 98.020, 96, S07, B12, 1
B12, Trade, 231.660, 100, S07, B12, 1
B12, Trade, 268.480, 95, S11, B12, 1
B12, Trade, 278.680, 95, S11, B12, 1
B12, Trade, 350.640, 100, B12, S01, 1
B12, Trade, 473.620, 99, B12, S06, 1
B12, Trade, 750.740, 99, B12, S00, 1
B12, Trade, 786.420, 94, B12, S04, 1
B12, Trade, 809.440, 97, B12, S05, 1
B12, Trade, 858.160, 87, B12, S06, 1
B13, 100
B13, Trade, 261.140, 104, B13, S06, 1
B13, Trade, 263.440, 96, S02, B13, 1
B13, Trade, 272.200, 104, B13, S05, 1
B13, Trade, 273.700, 104, B13, S12, 1
B13, Trade, 282.580, 104, B13, S08, 1
B13, Trade, 285.800, 103, S11, B13, 1
B13, Trade, 291.540, 104, B13, S00, 1
B13, Trade, 300.320, 104, B13, S05, 1
B13, Trade, 308.480, 104, B13, S05, 1
B13, Trade, 312.000, 104, B13, S04, 1
B13, Trade, 315.800, 100, S12, B13, 1
B13, Trade, 319.740, 100, S12, B13, 1
B13, Trade, 325.120, 104, B13, S00, 1
B13, Trade, 330.820, 103, S08, B13, 1
B13, Trade, 334.240, 104, B13, S06, 1
B13, Trade, 348.620, 102, S02, B13, 1
B13, Trade, 352.380, 100, S12, B13, 1
B13, Trade, 359.840, 99, S10, B13, 1
B13, Trade, 364.180, 104, S08, B13, 1
B13, Trade, 373.040, 104, B13, S03, 1
B13, Trade, 386.640, 104, B13, S05, 1
B13, Trade, 392.200, 100, S07, B13, 1
B13, Trade, 399.680, 104, B13, S11, 1
B13, Trade, 406.260, 104, B13, S04, 1
B13, Trade, 412.780, 104, B13, S04, 1
B13, Trade, 415.900, 99, S08, B13, 1
B13, Trade, 420.480, 104, B13, S03, 1
B13, Trade, 428.340, 104, B13, S04, 1
B13, Trade, 434.700, 104, B13, S00, 1
B13, Trade, 443.440, 104, B13, S00, 1
B13, Trade, 454.820, 104, B13, S00, 1
B13, Trade, 463.120, 104, B13, S04, 1
B13, Trade, 465.880, 100, S08, B13, 1
B13, Trade, 469.980, 104, B13, S04, 1
B13, Trade, 476.440, 104, B13, S00, 1
B13, Trade, 485.260, 104, B13, S05, 1
B13, Trade, 489.500, 104, B13, S12, 1
B13, Trade, 493.320, 100, S07, B13, 1
B13, Trade, 498.800, 104, B13, S06, 1
B13, Trade, 501.780, 99, S10, B13, 1
B13, Trade, 507.020, 99, S02, B13, 1
B13, Trade, 512.560, 104, B13, S04, 1
B13, Trade, 515.640, 104, B13, S03, 1
B13, Trade, 525.800, 100, S12, B13, 1
B13, Trade, 532.480, 100, S07, B13, 1
B13, Trade, 535.100, 104, B13, S01, 1
B13, Trade, 544.220, 99, S07, B13, 1
B13, Trade, 555.020, 104, B13, S11, 1
B13, Trade, 562.560, 104, B13, S12, 1
B13, Trade, 564.800, 104, B13, S10, 1
B13, Trade, 568.900, 104, B13, S05, 1
B13, Trade, 574.840, 104, B13, S00, 1
B13, Trade, 578.660, 104, B13, S10, 1
B13, Trade, 584.440, 104, B13, S04, 1
B13, Trade, 585.820, 104, B13, S06, 1
