B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 13
B07, Trade, 146.720, 77, B07, S00, 1
B07, Trade, 160.580, 77, B07, S05, 1
B07, Trade, 207.820, 77, B07, S05, 1
B07, Trade, 237.420, 77, B07, S05, 1
B07, Trade, 539.900, 79, B07, S00, 1
B07, Trade, 560.000, 79, B07, S00, 1
B07, Trade, 577.540, 79, B07, S00, 1
B07, Trade, 626.060, 79, B07, S00, 1
B07, Trade, 627.380, 71, S01, B07, 1
B07, Trade, 691.180, 79, B07, S00, 1
B07, Trade, 749.740, 79, B07, S00, 1
B07, Trade, 752.320, 79, B07, S02, 1
B07, Trade, 834.380, 78, B07, S00, 1
B08, 2
B08, Trade, 627.920, 79, S03, B08, 1
B08, Trade, 848.740, 82, B08, S00, 1
B09, 41
B09, Trade, 17.220, 87, B09, S09, 1
B09, Trade, 38.120, 87, B09, S02, 1
B09, Trade, 68.940, 87, B09, S05, 1
B09, Trade, 92.860, 87, B09, S05, 1
B09, Trade, 109.240, 87, B09, S09, 1
B09, Trade, 130.900, 87, B09, S09, 1
B09, Trade, 140.340, 87, B09, S09, 1
B09, Trade, 145.740, 87, B09, S09, 1
B09, Trade, 160.100, 87, B09, S08, 1
B09, Trade, 164.980, 87, B09, S08, 1
B09, Trade, 174.900, 87, B09, S08, 1
B09, Trade, 177.660, 87, B09, S05, 1
B09, Trade, 197.420, 87, B09, S00, 1
B09, Trade, 207.600, 87, B09, S00, 1
B09, Trade, 220.820, 87, B09, S05, 1
B09, Trade, 262.760, 87, B09, S09, 1
B09, Trade, 273.300, 87, B09, S08, 1
B09, Trade, 309.600, 87, B09, S02, 1
B09, Trade, 311.300, 85, S03, B09, 1
B09, Trade, 390.960, 87, B09, S05, 1
B09, Trade, 444.820, 87, B09, S02, 1
B09, Trade, 470.840, 87, B09, S00, 1
B09, Trade, 538.760, 87, B09, S09, 1
B09, Trade, 543.640, 87, S07, B09, 1
B09, Trade, 551.500, 87, B09, S09, 1
B09, Trade, 559.920, 87, B09, S08, 1
B09, Trade, 570.660, 87, S03, B09, 1
B09, Trade, 607.620, 87, B09, S09, 1
B09, Trade, 616.220, 87, B09, S09, 1
B09, Trade, 625.760, 87, B09, S08, 1
B09, Trade, 664.220, 87, B09, S00, 1
B09, Trade, 685.300, 87, B09, S00, 1
B09, Trade, 699.880, 87, B09, S08, 1
B09, Trade, 713.040, 87, B09, S08, 1
B09, Trade, 749.060, 87, B09, S09, 1
B09, Trade, 750.280, 83, S08, B09, 1
B09, Trade, 768.760, 87, B09, S02, 1
B09, Trade, 784.640, 87, B09, S00, 1
B09, Trade, 818.880, 87, B09, S00, 1
B09, Trade, 830.620, 87, B09, S09, 1
B09, Trade, 848.580, 87, B09, S05, 1
B10, 9
B10, Trade, 5.340, 90, B10, S08, 1
B10, Trade, 70.240, 84, B10, S01, 1
B10, Trade, 111.960, 85, S01, B10, 1
B10, Trade, 221.620, 88, B10, S00, 1
B10, Trade, 314.100, 90, B10, S08, 1
B10, Trade, 472.480, 83, S08, B10, 1
B10, Trade, 751.760, 86, S07, B10, 1
B10, Trade, 785.080, 87, B10, S09, 1
B10, Trade, 813.160, 87, S09, B10, 1
B11, 100
B11, Trade, 81.780, 95, B11, S05, 1
B11, Trade, 84.160, 95, B11, S00, 1
B11, Trade, 89.500, 95, B11, S05, 1
B11, Trade, 105.280, 95, B11, S05, 1
B11, Trade, 107.720, 86, S08, B11, 1
B11, Trade, 116.900, 95, B11, S05, 1
B11, Trade, 132.720, 95, B11, S09, 1
B11, Trade, 136.760, 95, S11, B11, 1
B11, Trade, 146.180, 95, B11, S00, 1
B11, Trade, 160.300, 95, S07, B11, 1
B11, Trade, 163.720, 94, S07, B11, 1
B11, Trade, 171.320, 95, B11, S08, 1
B11, Trade, 175.660, 95, B11, S05, 1
B11, Trade, 192.940, 95, B11, S09, 1
B11, Trade, 196.280, 95, B11, S02, 1
B11, Trade, 197.540, 95, B11, S05, 1
B11, Trade, 205.400, 91, S04, B11, 1
B11, Trade, 210.920, 87, S09, B11, 1
B11, Trade, 215.100, 94, S07, B11, 1
B11, Trade, 220.000, 95, B11, S10, 1
B11, Trade, 224.920, 95, S11, B11, 1
B11, Trade, 233.180, 95, B11, S00, 1
B11, Trade, 239.500, 95, B11, S10, 1
B11, Trade, 262.240, 95, B11, S05, 1
B11, Trade, 265.640, 95, B11, S00, 1
B11, Trade, 272.780, 95, B11, S08, 1
B11, Trade, 283.700, 95, B11, S09, 1
B11, Trade, 284.900, 91, S07, B11, 1
B11, Trade, 302.300, 95, B11, S05, 1
B11, Trade, 308.340, 95, B11, S06, 1
B11, Trade, 310.900, 86, S04, B11, 1
B11, Trade, 316.920, 95, B11, S10, 1
B11, Trade, 321.600, 95, B11, S10, 1
B11, Trade, 328.920, 95, B11, S09, 1
B11, Trade, 333.100, 95, B11, S09, 1
B11, Trade, 361.260, 95, B11, S02, 1
B11, Trade, 365.120, 95, B11, S05, 1
B11, Trade, 375.060, 95, B11, S09, 1
B11, Trade, 383.880, 95, B11, S09, 1
B11, Trade, 397.100, 95, B11, S00, 1
B11, Trade, 404.280, 95, B11, S08, 1
B11, Trade, 413.220, 95, B11, S08, 1
B11, Trade, 416.360, 95, B11, S10, 1
B11, Trade, 426.180, 95, B11, S09, 1
B11, Trade, 441.400, 95, B11, S09, 1
B11, Trade, 444.520, 95, B11, S05, 1
B11, Trade, 448.100, 95, B11, S08, 1
B11, Trade, 454.260, 95, B11, S05, 1
B11, Trade, 461.940, 95, B11, S10, 1
B11, Trade, 466.700, 95, B11, S00, 1
B11, Trade, 473.000, 87, S07, B11, 1
B11, Trade, 477.700, 94, S01, B11, 1
B11, Trade, 482.980, 93, S03, B11, 1
B11, Trade, 492.380, 95, B11, S10, 1
B11, Trade, 497.820, 95, B11, S05, 1
B11, Trade, 504.720, 95, B11, S00, 1
B11, Trade, 509.360, 95, B11, S05, 1
B11, Trade, 517.460, 95, S11, B11, 1
B11, Trade, 531.400, 95, B11, S00, 1
B11, Trade, 538.620, 95, B11, S02, 1
B11, Trade, 544.320, 86, S06, B11, 1
B11, Trade, 550.120, 95, B11, S00, 1
B11, Trade, 559.860, 95, B11, S09, 1
B11, Trade, 567.260, 95, B11, S06, 1
B11, Trade, 570.440, 87, S09, B11, 1
B11, Trade, 576.080, 95, B11, S06, 1
B11, Trade, 580.860, 95, B11, S10, 1
B11, Trade, 591.540, 95, B11, S08, 1
B11, Trade, 594.940, 95, B11, S05, 1
B11, Trade, 600.780, 95, B11, S00, 1
B11, Trade, 609.860, 95, B11, S05, 1
B11, Trade, 613.440, 95, B11, S05, 1
B11, Trade, 621.960, 95, B11, S09, 1
B11, Trade, 625.460, 95, B11, S06, 1
B11, Trade, 650.420, 95, B11, S05, 1
B11, Trade, 663.920, 95, B11, S10, 1
B11, Trade, 665.300, 87, S09, B11, 1
B11, Trade, 672.200, 95, B11, S05, 1
B11, Trade, 684.960, 95, B11, S08, 1
B11, Trade, 689.280, 95, B11, S03, 1
B11, Trade, 693.020, 91, S01, B11, 1
B11, Trade, 699.760, 95, B11, S00, 1
B11, Trade, 704.540, 95, B11, S00, 1
B11, Trade, 716.760, 95, B11, S05, 1
B11, Trade, 720.520, 95, B11, S04, 1
B11, Trade, 740.220, 95, B11, S09, 1
B11, Trade, 747.540, 95, B11, S06, 1
B11, Trade, 756.740, 95, B11, S05, 1
B11, Trade, 766.160, 95, B11, S09, 1
B11, Trade, 767.840, 95, B11, S10, 1
B11, Trade, 776.100, 95, B11, S05, 1
B11, Trade, 777.120, 95, B11, S07, 1
B11, Trade, 784.020, 95, B11, S08, 1
B11, Trade, 791.700, 95, B11, S08, 1
B11, Trade, 795.960, 95, B11, S10, 1
B11, Trade, 800.400, 95, B11, S05, 1
B11, Trade, 812.240, 95, B11, S00, 1
B11, Trade, 814.240, 95, B11, S03, 1
B11, Trade, 821.020, 95, B11, S02, 1
B11, Trade, 832.600, 95, B11, S06, 1
B12, 100
B12, Trade, 294.480, 99, S07, B12, 1
B12, Trade, 297.700, 100, B12, S01, 1
B12, Trade, 307.460, 97, S07, B12, 1
B12, Trade, 321.400, 100, B12, S00, 1
B12, Trade, 328.880, 100, B12, S02, 1
B12, Trade, 330.960, 100, B12, S05, 1
B12, Trade, 336.040, 99, S04, B12, 1
B12, Trade, 340.620, 100, B12, S08, 1
B12, Trade, 348.220, 100, B12, S12, 1
B12, Trade, 353.480, 100, B12, S02, 1
B12, Trade, 358.000, 100, S12, B12, 1
B12, Trade, 362.400, 100, B12, S00, 1
B12, Trade, 370.600, 100, B12, S12, 1
B12, Trade, 376.120, 100, B12, S08, 1
B12, Trade, 380.400, 100, B12, S08, 1
B12, Trade, 386.780, 100, B12, S03, 1
B12, Trade, 393.980, 100, B12, S02, 1
B12, Trade, 401.080, 100, S12, B12, 1
B12, Trade, 409.380, 100, B12, S00, 1
B12, Trade, 412.500, 100, B12, S12, 1
B12, Trade, 418.860, 100, B12, S00, 1
B12, Trade, 424.560, 100, B12, S10, 1
B12, Trade, 428.200, 100, S07, B12, 1
B12, Trade, 432.420, 100, B12, S05, 1
B12, Trade, 436.620, 100, B12, S09, 1
B12, Trade, 442.480, 98, S01, B12, 1
B12, Trade, 443.320, 98, S04, B12, 1
B12, Trade, 452.840, 100, B12, S07, 1
B12, Trade, 456.400, 100, B12, S09, 1
B12, Trade, 461.880, 100, B12, S02, 1
B12, Trade, 469.560, 100, S12, B12, 1
B12, Trade, 472.060, 87, S03, B12, 1
B12, Trade, 475.340, 98, S04, B12, 1
