B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 6
B07, Trade, 7.740, 79, B07, S07, 1
B07, Trade, 271.060, 79, B07, S07, 1
B07, Trade, 575.420, 79, B07, S04, 1
B07, Trade, 677.660, 79, B07, S07, 1
B07, Trade, 695.980, 79, B07, S07, 1
B07, Trade, 722.060, 79, B07, S04, 1
B08, 10
B08, Trade, 7.360, 83, B08, S04, 1
B08, Trade, 368.900, 83, B08, S07, 1
B08, Trade, 504.100, 83, B08, S07, 1
B08, Trade, 548.180, 83, B08, S04, 1
B08, Trade, 573.920, 83, B08, S04, 1
B08, Trade, 677.560, 83, B08, S06, 1
B08, Trade, 695.800, 83, B08, S06, 1
B08, Trade, 721.900, 83, B08, S06, 1
B08, Trade, 765.480, 83, B08, S06, 1
B08, Trade, 817.000, 83, B08, S07, 1
B09, 34
B09, Trade, 6.760, 87, B09, S09, 1
B09, Trade, 39.100, 84, B09, S07, 1
B09, Trade, 107.920, 87, B09, S01, 1
B09, Trade, 118.980, 87, B09, S09, 1
B09, Trade, 127.540, 87, B09, S01, 1
B09, Trade, 139.740, 87, B09, S09, 1
B09, Trade, 152.700, 87, B09, S04, 1
B09, Trade, 199.320, 87, B09, S07, 1
B09, Trade, 243.300, 87, B09, S09, 1
B09, Trade, 270.280, 87, B09, S09, 1
B09, Trade, 272.800, 84, B09, S07, 1
B09, Trade, 283.380, 87, B09, S09, 1
B09, Trade, 326.180, 87, B09, S04, 1
B09, Trade, 354.640, 84, B09, S07, 1
B09, Trade, 367.000, 87, B09, S09, 1
B09, Trade, 380.480, 87, B09, S09, 1
B09, Trade, 396.600, 87, B09, S07, 1
B09, Trade, 409.060, 87, B09, S04, 1
B09, Trade, 452.540, 87, B09, S09, 1
B09, Trade, 454.800, 85, B09, S06, 1
B09, Trade, 485.320, 87, B09, S04, 1
B09, Trade, 487.760, 86, B09, S07, 1
B09, Trade, 504.040, 87, B09, S09, 1
B09, Trade, 625.180, 87, B09, S01, 1
B09, Trade, 634.640, 87, B09, S07, 1
B09, Trade, 637.880, 84, B09, S04, 1
B09, Trade, 648.060, 87, B09, S06, 1
B09, Trade, 677.480, 87, B09, S04, 1
B09, Trade, 686.700, 87, B09, S04, 1
B09, Trade, 693.300, 87, B09, S04, 1
B09, Trade, 765.220, 87, B09, S04, 1
B09, Trade, 799.460, 87, B09, S09, 1
B09, Trade, 800.960, 87, B09, S07, 1
B09, Trade, 817.160, 80, B09, S04, 1
B10, 48
B10, Trade, 6.620, 88, B10, S06, 1
B10, Trade, 22.040, 90, B10, S04, 1
B10, Trade, 32.600, 90, B10, S04, 1
B10, Trade, 38.400, 89, B10, S09, 1
B10, Trade, 66.720, 90, B10, S01, 1
B10, Trade, 85.180, 89, B10, S04, 1
B10, Trade, 107.740, 90, B10, S09, 1
B10, Trade, 121.040, 87, B10, S04, 1
B10, Trade, 150.240, 89, B10, S07, 1
B10, Trade, 161.720, 90, B10, S06, 1
B10, Trade, 182.900, 89, B10, S09, 1
B10, Trade, 197.340, 90, B10, S09, 1
B10, Trade, 243.200, 90, B10, S06, 1
B10, Trade, 255.900, 90, B10, S09, 1
B10, Trade, 272.500, 88, B10, S06, 1
B10, Trade, 298.140, 90, B10, S01, 1
B10, Trade, 304.300, 90, B10, S04, 1
B10, Trade, 316.140, 90, B10, S09, 1
B10, Trade, 325.740, 89, B10, S09, 1
B10, Trade, 328.520, 90, B10, S04, 1
B10, Trade, 335.080, 89, B10, S04, 1
B10, Trade, 366.920, 89, B10, S04, 1
B10, Trade, 400.020, 88, B10, S04, 1
B10, Trade, 412.040, 87, S09, B10, 1
B10, Trade, 422.900, 88, B10, S07, 1
B10, Trade, 436.260, 90, B10, S09, 1
B10, Trade, 447.220, 90, B10, S06, 1
B10, Trade, 492.500, 89, B10, S09, 1
B10, Trade, 540.600, 90, B10, S09, 1
B10, Trade, 547.260, 89, B10, S06, 1
B10, Trade, 560.720, 90, B10, S07, 1
B10, Trade, 573.520, 89, B10, S07, 1
B10, Trade, 593.680, 90, B10, S04, 1
B10, Trade, 612.620, 90, B10, S04, 1
B10, Trade, 621.720, 88, B10, S04, 1
B10, Trade, 634.180, 89, B10, S04, 1
B10, Trade, 635.160, 87, B10, S09, 1
B10, Trade, 650.980, 87, B10, S09, 1
B10, Trade, 689.420, 87, B10, S04, 1
B10, Trade, 715.000, 90, B10, S09, 1
B10, Trade, 721.120, 90, B10, S09, 1
B10, Trade, 726.160, 90, B10, S04, 1
B10, Trade, 750.920, 89, B10, S01, 1
B10, Trade, 770.320, 90, B10, S04, 1
B10, Trade, 780.200, 89, B10, S04, 1
B10, Trade, 787.920, 89, B10, S07, 1
B10, Trade, 847.720, 90, B10, S04, 1
B10, Trade, 859.520, 90, B10, S07, 1
B11, 9
B11, Trade, 7.380, 79, B11, S01, 1
B11, Trade, 17.240, 92, B11, S07, 1
B11, Trade, 58.600, 88, B11, S09, 1
B11, Trade, 188.180, 95, B11, S07, 1
B11, Trade, 254.640, 94, B11, S05, 1
B11, Trade, 398.200, 95, B11, S01, 1
B11, Trade, 422.060, 89, B11, S07, 1
B11, Trade, 726.180, 88, B11, S09, 1
B11, Trade, 761.440, 95, B11, S11, 1
B12, 100
B12, Trade, 294.960, 100, B12, S06, 1
B12, Trade, 301.100, 95, S11, B12, 1
B12, Trade, 304.220, 95, S03, B12, 1
B12, Trade, 307.940, 100, B12, S07, 1
B12, Trade, 313.960, 100, B12, S10, 1
B12, Trade, 321.240, 100, B12, S04, 1
B12, Trade, 323.400, 99, S03, B12, 1
B12, Trade, 330.960, 95, S11, B12, 1
B12, Trade, 336.600, 93, S02, B12, 1
B12, Trade, 343.040, 100, B12, S09, 1
B12, Trade, 347.300, 100, B12, S04, 1
B12, Trade, 349.560, 100, B12, S11, 1
B12, Trade, 357.020, 100, B12, S03, 1
