B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 5.100, 81, S00, B08, 1
B09, 19
B09, Trade, 1.900, 83, B09, S05, 1
B09, Trade, 205.240, 87, B09, S08, 1
B09, Trade, 284.500, 87, B09, S08, 1
B09, Trade, 298.460, 87, B09, S00, 1
B09, Trade, 370.420, 87, B09, S09, 1
B09, Trade, 386.160, 87, B09, S04, 1
B09, Trade, 397.500, 87, B09, S08, 1
B09, Trade, 401.480, 87, B09, S04, 1
B09, Trade, 485.080, 87, B09, S09, 1
B09, Trade, 599.120, 86, B09, S04, 1
B09, Trade, 603.200, 87, B09, S08, 1
B09, Trade, 636.040, 87, B09, S08, 1
B09, Trade, 672.340, 87, B09, S08, 1
B09, Trade, 695.780, 87, B09, S00, 1
B09, Trade, 735.080, 87, B09, S09, 1
B09, Trade, 767.380, 85, B09, S00, 1
B09, Trade, 789.680, 87, B09, S09, 1
B09, Trade, 811.040, 87, B09, S04, 1
B09, Trade, 845.480, 87, B09, S09, 1
B10, 52
B10, Trade, 35.880, 91, B10, S09, 1
B10, Trade, 41.500, 91, B10, S08, 1
B10, Trade, 50.560, 91, B10, S00, 1
B10, Trade, 70.340, 91, B10, S00, 1
B10, Trade, 86.100, 91, B10, S08, 1
B10, Trade, 89.360, 91, B10, S01, 1
B10, Trade, 135.060, 91, B10, S04, 1
B10, Trade, 178.500, 91, B10, S04, 1
B10, Trade, 193.360, 91, B10, S08, 1
B10, Trade, 199.040, 91, B10, S00, 1
B10, Trade, 212.780, 91, B10, S00, 1
B10, Trade, 229.180, 91, B10, S08, 1
B10, Trade, 255.640, 91, B10, S07, 1
B10, Trade, 262.300, 91, S10, B10, 1
B10, Trade, 282.060, 91, B10, S08, 1
B10, Trade, 298.100, 88, S09, B10, 1
B10, Trade, 305.160, 91, B10, S04, 1
B10, Trade, 330.880, 91, B10, S00, 1
B10, Trade, 363.320, 91, B10, S08, 1
B10, Trade, 375.920, 91, B10, S04, 1
B10, Trade, 381.980, 91, B10, S09, 1
B10, Trade, 386.100, 91, B10, S09, 1
B10, Trade, 400.660, 91, B10, S05, 1
B10, Trade, 412.740, 91, B10, S00, 1
B10, Trade, 434.360, 91, B10, S04, 1
B10, Trade, 458.400, 91, B10, S04, 1
B10, Trade, 469.960, 91, B10, S04, 1
B10, Trade, 480.420, 91, B10, S00, 1
B10, Trade, 500.220, 91, B10, S08, 1
B10, Trade, 520.280, 91, B10, S00, 1
B10, Trade, 542.060, 91, B10, S00, 1
B10, Trade, 549.520, 91, B10, S09, 1
B10, Trade, 561.100, 91, B10, S07, 1
B10, Trade, 566.200, 91, B10, S00, 1
B10, Trade, 598.420, 91, B10, S00, 1
B10, Trade, 602.380, 91, B10, S04, 1
B10, Trade, 634.380, 91, B10, S04, 1
B10, Trade, 637.420, 86, S03, B10, 1
B10, Trade, 655.260, 91, B10, S08, 1
B10, Trade, 687.740, 91, B10, S09, 1
B10, Trade, 695.320, 91, B10, S04, 1
B10, Trade, 704.680, 91, B10, S04, 1
B10, Trade, 709.420, 91, B10, S02, 1
B10, Trade, 720.440, 91, B10, S00, 1
B10, Trade, 734.080, 91, B10, S08, 1
B10, Trade, 764.020, 91, B10, S09, 1
B10, Trade, 771.600, 87, S09, B10, 1
B10, Trade, 772.660, 91, B10, S04, 1
B10, Trade, 789.520, 91, B10, S00, 1
B10, Trade, 796.060, 91, B10, S08, 1
B10, Trade, 810.960, 91, B10, S00, 1
B10, Trade, 844.800, 91, B10, S04, 1
B11, 90
B11, Trade, 12.000, 94, B11, S08, 1
B11, Trade, 29.740, 94, B11, S08, 1
B11, Trade, 31.460, 94, B11, S08, 1
B11, Trade, 41.900, 94, S03, B11, 1
B11, Trade, 50.360, 94, B11, S08, 1
B11, Trade, 56.440, 91, B11, S08, 1
B11, Trade, 69.960, 94, B11, S09, 1
B11, Trade, 71.460, 93, B11, S08, 1
B11, Trade, 85.140, 94, B11, S00, 1
B11, Trade, 86.780, 94, B11, S01, 1
B11, Trade, 95.800, 94, B11, S04, 1
B11, Trade, 100.080, 94, B11, S00, 1
B11, Trade, 103.160, 94, B11, S08, 1
B11, Trade, 124.540, 94, B11, S04, 1
B11, Trade, 130.220, 94, B11, S04, 1
B11, Trade, 135.360, 94, B11, S05, 1
B11, Trade, 156.640, 94, B11, S00, 1
B11, Trade, 158.820, 94, S01, B11, 1
B11, Trade, 166.620, 94, B11, S00, 1
B11, Trade, 172.340, 93, B11, S08, 1
B11, Trade, 176.840, 92, B11, S08, 1
B11, Trade, 201.600, 93, B11, S07, 1
B11, Trade, 212.880, 92, S09, B11, 1
B11, Trade, 218.820, 93, B11, S08, 1
B11, Trade, 227.100, 94, B11, S09, 1
B11, Trade, 238.020, 93, B11, S08, 1
B11, Trade, 251.500, 94, B11, S09, 1
