B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 2
B07, Trade, 4.100, 81, S06, B07, 1
B07, Trade, 268.500, 85, B07, S06, 1
B08, 13
B08, Trade, 5.450, 91, B08, S00, 1
B08, Trade, 32.225, 92, B08, S06, 1
B08, Trade, 188.775, 86, B08, S05, 1
B08, Trade, 297.000, 92, B08, S06, 1
B08, Trade, 300.875, 86, B08, S06, 1
B08, Trade, 313.250, 92, B08, S06, 1
B08, Trade, 340.650, 92, B08, S06, 1
B08, Trade, 378.050, 92, B08, S06, 1
B08, Trade, 385.225, 92, B08, S03, 1
B08, Trade, 435.050, 90, S01, B08, 1
B08, Trade, 479.275, 92, B08, S06, 1
B08, Trade, 676.275, 92, B08, S06, 1
B08, Trade, 762.700, 92, B08, S03, 1
B09, 47
B09, Trade, 13.250, 95, B09, S08, 1
B09, Trade, 22.150, 96, B09, S03, 1
B09, Trade, 26.550, 95, B09, S05, 1
B09, Trade, 37.325, 95, B09, S06, 1
B09, Trade, 49.075, 96, B09, S06, 1
B09, Trade, 57.550, 96, B09, S06, 1
B09, Trade, 97.950, 93, B09, S08, 1
B09, Trade, 108.875, 96, B09, S06, 1
B09, Trade, 137.325, 96, B09, S06, 1
B09, Trade, 138.250, 96, B09, S00, 1
B09, Trade, 168.975, 96, B09, S08, 1
B09, Trade, 176.600, 96, B09, S06, 1
B09, Trade, 184.325, 96, B09, S05, 1
B09, Trade, 187.400, 96, B09, S06, 1
B09, Trade, 195.050, 96, B09, S06, 1
B09, Trade, 268.375, 92, S05, B09, 1
B09, Trade, 299.550, 92, B09, S02, 1
B09, Trade, 305.975, 92, B09, S06, 1
B09, Trade, 313.100, 96, B09, S08, 1
B09, Trade, 318.300, 93, B09, S03, 1
B09, Trade, 333.175, 96, B09, S06, 1
B09, Trade, 344.450, 95, B09, S03, 1
B09, Trade, 349.600, 96, B09, S06, 1
B09, Trade, 381.000, 93, B09, S02, 1
B09, Trade, 432.425, 96, B09, S06, 1
B09, Trade, 455.000, 96, B09, S03, 1
B09, Trade, 471.900, 96, B09, S03, 1
B09, Trade, 479.925, 94, B09, S04, 1
B09, Trade, 492.025, 96, B09, S06, 1
B09, Trade, 506.525, 96, B09, S06, 1
B09, Trade, 518.350, 96, B09, S03, 1
B09, Trade, 530.450, 96, B09, S05, 1
B09, Trade, 531.750, 93, B09, S06, 1
B09, Trade, 569.125, 96, B09, S06, 1
B09, Trade, 583.250, 96, B09, S06, 1
B09, Trade, 619.650, 96, B09, S05, 1
B09, Trade, 630.225, 96, B09, S05, 1
B09, Trade, 651.125, 95, B09, S03, 1
B09, Trade, 661.500, 96, B09, S03, 1
B09, Trade, 674.875, 96, B09, S06, 1
B09, Trade, 713.850, 96, B09, S06, 1
B09, Trade, 724.625, 96, B09, S06, 1
B09, Trade, 736.100, 95, B09, S08, 1
B09, Trade, 749.975, 96, B09, S01, 1
B09, Trade, 766.600, 95, B09, S06, 1
B09, Trade, 797.450, 96, B09, S06, 1
B09, Trade, 818.100, 95, B09, S06, 1
B10, 100
B10, Trade, 26.025, 99, B10, S06, 1
B10, Trade, 53.200, 98, B10, S01, 1
B10, Trade, 74.550, 99, B10, S04, 1
B10, Trade, 85.950, 98, B10, S05, 1
B10, Trade, 94.400, 98, S08, B10, 1
B10, Trade, 106.950, 97, S02, B10, 1
B10, Trade, 126.850, 100, B10, S06, 1
B10, Trade, 134.525, 100, B10, S06, 1
B10, Trade, 138.125, 97, S04, B10, 1
B10, Trade, 152.150, 99, B10, S06, 1
B10, Trade, 157.450, 100, B10, S03, 1
B10, Trade, 165.175, 98, B10, S05, 1
B10, Trade, 168.375, 96, B10, S01, 1
B10, Trade, 174.225, 93, S08, B10, 1
B10, Trade, 187.050, 98, B10, S01, 1
B10, Trade, 190.925, 96, B10, S04, 1
B10, Trade, 201.300, 100, B10, S06, 1
B10, Trade, 205.250, 98, B10, S01, 1
B10, Trade, 209.950, 97, B10, S03, 1
B10, Trade, 220.425, 101, B10, S01, 1
B10, Trade, 222.500, 99, B10, S03, 1
B10, Trade, 228.550, 101, B10, S02, 1
B10, Trade, 234.425, 100, B10, S08, 1
B10, Trade, 244.900, 97, B10, S06, 1
B10, Trade, 262.875, 101, B10, S01, 1
B10, Trade, 265.775, 97, S08, B10, 1
B10, Trade, 282.300, 99, B10, S06, 1
B10, Trade, 290.475, 101, B10, S08, 1
B10, Trade, 294.525, 99, S02, B10, 1
B10, Trade, 299.125, 93, B10, S08, 1
B10, Trade, 308.775, 97, S07, B10, 1
B10, Trade, 323.375, 101, B10, S07, 1
B10, Trade, 330.525, 100, B10, S06, 1
B10, Trade, 341.100, 93, S05, B10, 1
B10, Trade, 358.950, 99, B10, S00, 1
B10, Trade, 362.675, 97, B10, S01, 1
B10, Trade, 365.475, 101, S01, B10, 1
B10, Trade, 377.650, 100, B10, S06, 1
B10, Trade, 387.575, 100, B10, S07, 1
B10, Trade, 392.000, 99, B10, S06, 1
B10, Trade, 400.550, 100, B10, S06, 1
B10, Trade, 405.425, 101, B10, S08, 1
B10, Trade, 410.000, 100, B10, S08, 1
B10, Trade, 417.025, 101, B10, S06, 1
B10, Trade, 422.900, 101, B10, S05, 1
B10, Trade, 428.675, 101, S01, B10, 1
B10, Trade, 438.950, 101, B10, S07, 1
B10, Trade, 451.225, 101, B10, S06, 1
B10, Trade, 460.025, 101, B10, S06, 1
B10, Trade, 465.100, 101, B10, S06, 1
B10, Trade, 471.100, 101, B10, S06, 1
B10, Trade, 480.225, 92, B10, S06, 1
B10, Trade, 488.550, 101, B10, S05, 1
B10, Trade, 497.975, 97, B10, S06, 1
B10, Trade, 508.025, 98, B10, S03, 1
B10, Trade, 513.825, 98, B10, S06, 1
B10, Trade, 530.175, 101, B10, S06, 1
